SEASON,SEASON_TYPE,TEAM_ABB,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2016-17,regular-season,-,82,100,39.5,84.4,46.7,51.1,75.1,32.1,63.4,50.7,24.9,7.3,21.0,34.9,0
2016-17,regular-season,-,81,100,39.2,84.4,46.5,51.6,72.8,30.6,61.5,49.8,27.2,8.6,22.9,37.6,0
2016-17,regular-season,-,82,100,38.0,84.3,45.1,50.4,69.1,29.1,58.2,50.1,30.9,8.9,26.0,34.2,0
2016-17,regular-season,-,81,100,39.1,84.2,46.4,51.6,71.0,30.2,59.8,50.6,29.0,8.8,24.4,36.2,0
2016-17,regular-season,-,81,100,39.3,83.8,46.9,52.4,71.9,30.1,60.3,50.0,28.1,9.2,23.5,39.0,0
2016-17,regular-season,-,82,100,36.4,83.5,43.6,49.2,68.4,27.0,57.1,47.3,31.6,9.3,26.4,35.4,0
2016-17,regular-season,-,82,100,39.5,83.2,47.5,53.7,67.1,29.3,55.8,52.5,32.9,10.3,27.4,37.5,0
2016-17,regular-season,-,81,100,36.1,82.2,43.9,50.4,63.4,25.5,52.1,48.8,36.6,10.7,30.1,35.4,0
2016-17,regular-season,-,82,100,37.8,82.1,46.1,51.6,70.9,28.9,58.2,49.6,29.1,9.0,23.9,37.6,0
2016-17,regular-season,-,82,100,38.7,81.7,47.4,52.8,71.0,30.0,58.0,51.6,29.0,8.8,23.7,37.0,0
2016-17,regular-season,-,82,100,37.0,79.4,46.5,52.6,67.3,27.3,53.5,51.1,32.7,9.7,25.9,37.2,0
2017-18,regular-season,-,81,100,38.6,88.5,43.6,49.8,64.9,27.5,57.4,47.8,35.1,11.1,31.1,35.7,0
2017-18,regular-season,-,81,100,40.6,88.3,46.0,51.7,67.2,30.7,59.3,51.7,32.8,10.0,29.0,34.4,0
2017-18,regular-season,-,80,100,40.0,87.9,45.4,51.6,65.3,29.2,57.4,50.8,34.7,10.8,30.5,35.3,0
2017-18,regular-season,-,82,100,42.4,87.8,48.3,54.1,68.0,32.3,59.8,54.1,32.0,10.1,28.1,36.1,0
2017-18,regular-season,-,81,100,40.5,87.5,46.3,51.0,73.5,32.4,64.3,50.5,26.5,8.1,23.2,34.9,0
2017-18,regular-season,-,82,100,41.1,87.2,47.2,53.9,62.3,29.4,54.3,54.1,37.7,11.7,32.9,35.7,0
2017-18,regular-season,-,82,100,38.4,87.0,44.2,49.5,68.0,29.1,59.2,49.2,32.0,9.3,27.9,33.4,0
2017-18,regular-season,-,80,100,38.4,86.9,44.1,51.5,58.9,25.6,51.1,50.0,41.1,12.8,35.7,35.8,0
2017-18,regular-season,-,82,100,39.0,86.7,45.0,51.3,66.7,28.2,57.8,48.8,33.3,10.8,28.9,37.4,0
2017-18,regular-season,-,81,100,40.9,86.6,47.2,53.5,65.5,29.9,56.8,52.6,34.5,11.0,29.9,36.8,0
2017-18,regular-season,-,82,100,39.0,86.6,45.0,50.8,68.6,28.9,59.4,48.7,31.4,10.1,27.2,36.9,0
2017-18,regular-season,-,81,100,40.7,86.6,47.0,53.5,64.3,29.3,55.7,52.5,35.7,11.4,30.9,36.9,0
2017-18,regular-season,-,82,100,39.0,86.6,45.1,51.0,67.7,28.8,58.6,49.2,32.3,10.2,28.0,36.5,0
2017-18,regular-season,-,82,100,40.7,86.1,47.2,52.5,71.6,31.7,61.7,51.4,28.4,9.0,24.4,36.8,0
