SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2016-17,All+Star,D. Exum - D. Saric - K. Porzingis - T. Lyles - D. Sabonis,WLD,1,1,150.0,600.0,-450.0,0.0,0.00,0.0,-,-,-,0.0,150.0,0.0,110.77,33.3,0,0
2016-17,All+Star,D. Jordan - J. Harden - S. Curry - K. Leonard - A. Davis,WST,1,1,66.7,0.0,66.7,100,0.00,25.0,-,-,-,0.0,33.3,33.3,150.45,200.0,0,0
2016-17,All+Star,D. Jordan - S. Curry - D. Cousins - K. Thompson - K. Leonard,WST,1,1,75.0,160.0,-85.0,100,0.00,20.0,-,-,-,0.0,37.5,37.5,156.14,0.0,0,0
2016-17,All+Star,D. Rachel - A. Elgort - O. Schmidt - J. Williams - K. Wu,EST,1,1,150.0,0.0,150.0,100,0.00,33.3,-,-,-,0.0,100,79.8,120.00,250.0,0,0
2016-17,All+Star,K. Durant - R. Westbrook - J. Harden - A. Davis - D. Green,WST,1,1,80.0,160.0,-80.0,100,0.00,28.6,-,-,-,0.0,50.0,50.0,177.78,40.0,0,0
2016-17,All+Star,K. Durant - S. Curry - K. Thompson - A. Davis - D. Green,WST,1,1,150.0,120.0,30.0,66.7,2.00,33.3,-,-,-,0.3,100,100,148.97,48.3,0,0
2016-17,All+Star,K. Lowry - P. Millsap - D. DeRozan - P. George - K. Irving,EST,1,1,160.0,80.0,80.0,66.7,0.00,28.6,-,-,-,0.0,80.0,80.0,177.78,60.0,0,0
2016-17,All+Star,N. Jokic - K. Porzingis - T. Lyles - B. Hield - J. Murray,WLD,1,1,100.0,0.0,100.0,100,0.00,25.0,-,-,-,0.0,33.3,33.3,130.91,125.0,0,0
2016-17,All+Star,N. Jokic - T. Lyles - D. Sabonis - B. Hield - J. Murray,WLD,1,1,200.0,233.3,-33.3,66.7,0.00,33.3,-,-,-,0.0,75.0,75.0,99.31,45.5,0,0
2016-17,All+Star,N. Ogwumike - M. Cuban - A. Grammer - H. Minhaj - C. Parker,WST,1,1,0.0,50.0,-50.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,135.00,100,0,0
2016-17,All+Star,P. Millsap - D. DeRozan - P. George - K. Irving - G. Antetokounmpo,EST,1,1,120.0,150.0,-30.0,66.7,2.00,25.0,-,-,-,0.2,75.0,75.0,148.97,51.7,0,0
2016-17,All+Star,R. Westbrook - D. Jordan - D. Cousins - K. Thompson - K. Leonard,WST,1,1,200.0,0.0,200.0,66.7,0.00,40.0,-,-,-,0.0,100,100,157.50,142.9,0,0
2016-17,All+Star,W. Butler - D. Rachel - A. Elgort - O. Schmidt - K. Wu,EST,1,1,0.0,0.0,0.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,24.83,0.0,0,0
2016-17,All+Star,W. Butler - D. Rachel - M. Lasry - C. McLaughlin - P. Rosenberg,EST,1,1,100.0,40.0,60.0,100,1.00,28.6,-,-,-,0.4,100,86.8,187.01,107.7,0,0
2016-17,All+Star,C. Anthony - K. Lowry - D. DeRozan - K. Walker - I. Thomas,EST,1,0,0.0,0.0,0.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,720.01,0.0,0,0
2016-17,All+Star,D. Exum - D. Saric - K. Porzingis - W. Hernangomez - D. Sabonis,WLD,1,0,0.0,0.0,0.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,205.71,0.0,0,0
2016-17,All+Star,M. Cuban - A. Mackie - R. Miller - H. Minhaj -  . JJ,WST,1,0,200.0,0.0,200.0,0.0,0.00,0.0,-,-,-,0.0,100,100,480.00,100,0,0
2016-17,All+Star,M. Cuban - B. Davis - A. Mackie - R. Miller - H. Minhaj,WST,1,0,0.0,0.0,0.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,720.01,100,0,0
