SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,MIN,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
2018-19,Playoffs,ORL,Orlando Magic,5,240.0,1,4,6.6,4.0,33.8,16.0,23.2,69.0
2018-19,Playoffs,PHI,Philadelphia 76ers,12,240.0,7,5,6.3,5.4,37.1,14.2,23.7,59.9
2018-19,Playoffs,POR,Portland Trail Blazers,16,247.8,8,8,6.9,5.1,33.8,16.4,26.0,63.0
2018-19,Playoffs,SAS,San Antonio Spurs,7,240.0,3,4,4.6,4.0,34.4,15.0,25.6,58.7
2018-19,Playoffs,TOR,Toronto Raptors,24,242.1,16,8,8.0,4.6,34.0,13.4,21.7,61.7
2018-19,Playoffs,UTA,Utah Jazz,5,240.0,1,4,9.2,5.4,35.4,13.6,23.4,58.1
2019-20,Regular+Season,ATL,Atlanta Hawks,67,243.0,20,47,7.8,5.1,33.4,19.9,31.0,64.2
2019-20,Regular+Season,BOS,Boston Celtics,72,242.1,48,24,8.3,5.6,35.4,16.1,25.8,62.3
2019-20,Regular+Season,BKN,Brooklyn Nets,72,242.8,35,37,6.4,4.5,37.3,15.7,25.5,61.7
2019-20,Regular+Season,CHA,Charlotte Hornets,64,242.3,23,41,6.6,4.1,31.8,19.2,29.4,65.1
2019-20,Regular+Season,CHI,Chicago Bulls,65,241.2,22,43,10.0,4.1,31.4,19.2,28.6,67.0
2019-20,Regular+Season,CLE,Cleveland Cavaliers,65,241.9,19,46,6.9,3.2,33.4,20.9,31.1,67.3
2019-20,Regular+Season,DAL,Dallas Mavericks,73,242.1,41,32,6.2,4.7,36.2,18.0,29.0,62.1
2019-20,Regular+Season,DEN,Denver Nuggets,73,243.1,46,27,8.0,4.6,33.4,17.6,27.5,64.1
2019-20,Regular+Season,DET,Detroit Pistons,65,241.9,20,45,7.4,4.6,32.0,18.8,29.1,64.6
2019-20,Regular+Season,GSW,Golden State Warriors,65,241.9,15,50,8.2,4.6,32.9,18.4,29.2,63.0
2019-20,Regular+Season,HOU,Houston Rockets,72,241.4,44,28,8.7,5.2,34.5,19.5,29.2,67.0
2019-20,Regular+Season,IND,Indiana Pacers,73,241.4,45,28,7.4,5.2,34.1,17.5,28.5,61.6
2019-20,Regular+Season,LAC,LA Clippers,72,241.4,49,23,7.1,4.7,37.0,15.6,25.2,61.9
2019-20,Regular+Season,LAL,Los Angeles Lakers,71,240.7,52,19,8.6,6.6,35.1,16.5,26.7,61.7
2019-20,Regular+Season,MEM,Memphis Grizzlies,73,240.7,34,39,7.9,5.5,36.2,16.3,26.7,61.0
2019-20,Regular+Season,MIA,Miami Heat,72,243.1,44,28,7.5,4.5,35.9,16.3,24.3,67.1
2019-20,Regular+Season,MIL,Milwaukee Bucks,72,241.0,55,17,7.2,5.8,42.3,12.4,23.2,53.6
2019-20,Regular+Season,MIN,Minnesota Timberwolves,64,243.1,19,45,8.7,5.7,34.3,19.0,29.7,63.9
2019-20,Regular+Season,NOP,New Orleans Pelicans,71,241.8,30,41,7.5,5.0,35.4,19.6,30.8,63.7
2019-20,Regular+Season,NYK,New York Knicks,66,241.9,21,45,7.6,4.7,34.5,16.2,24.7,65.5
2019-20,Regular+Season,OKC,Oklahoma City Thunder,72,242.1,44,28,7.6,4.9,34.7,17.6,28.5,61.7
2019-20,Regular+Season,ORL,Orlando Magic,73,240.7,33,40,8.2,5.4,34.2,16.4,26.4,62.1
2019-20,Regular+Season,PHI,Philadelphia 76ers,73,241.0,43,30,8.0,5.3,35.0,17.3,26.8,64.3
2019-20,Regular+Season,PHX,Phoenix Suns,72,240.7,34,38,7.7,4.0,33.5,18.3,28.5,64.1
2019-20,Regular+Season,POR,Portland Trail Blazers,73,241.0,34,39,6.2,6.1,35.1,17.1,28.1,60.9
2019-20,Regular+Season,SAC,Sacramento Kings,71,242.5,31,40,7.8,4.0,32.8,17.6,26.5,66.5
2019-20,Regular+Season,SAS,San Antonio Spurs,70,242.1,31,39,7.3,5.4,35.4,17.5,27.8,62.8
2019-20,Regular+Season,TOR,Toronto Raptors,71,241.4,52,19,8.8,5.0,35.9,15.0,25.4,58.9
2019-20,Regular+Season,UTA,Utah Jazz,72,241.0,44,28,6.1,4.1,35.8,16.4,26.4,62.1
2019-20,Regular+Season,WAS,Washington Wizards,72,241.0,25,47,8.0,4.3,31.9,19.0,29.1,65.3
2019-20,Playoffs,BOS,Boston Celtics,17,244.4,10,7,6.7,4.8,36.5,13.8,23.5,58.5
2019-20,Playoffs,BKN,Brooklyn Nets,4,240.0,0,4,5.0,4.5,35.0,17.8,28.0,63.4
2019-20,Playoffs,DAL,Dallas Mavericks,6,244.2,2,4,6.5,3.7,35.5,15.7,24.0,65.3
2019-20,Playoffs,DEN,Denver Nuggets,19,241.3,9,10,6.2,4.0,31.4,15.9,24.9,63.9
2019-20,Playoffs,HOU,Houston Rockets,12,242.1,5,7,9.1,3.5,32.2,16.5,24.8,66.4
2019-20,Playoffs,IND,Indiana Pacers,4,240.0,0,4,9.3,5.5,30.8,15.3,26.5,57.5
2019-20,Playoffs,LAC,LA Clippers,13,241.9,7,6,7.5,3.7,34.5,14.5,21.6,66.9
2019-20,Playoffs,LAL,Los Angeles Lakers,21,240.0,16,5,8.0,5.3,33.5,15.3,24.8,61.9
2019-20,Playoffs,MIA,Miami Heat,21,242.4,14,7,6.9,3.9,33.6,15.9,24.5,64.9
2019-20,Playoffs,MIL,Milwaukee Bucks,10,242.5,5,5,7.2,4.2,37.3,10.0,16.2,61.7
2019-20,Playoffs,OKC,Oklahoma City Thunder,7,243.6,3,4,5.3,4.0,40.9,15.7,27.4,57.3
2019-20,Playoffs,ORL,Orlando Magic,5,240.0,1,4,6.8,3.2,36.4,16.8,24.4,68.9
2019-20,Playoffs,PHI,Philadelphia 76ers,4,240.0,0,4,5.0,4.5,33.8,13.5,22.3,60.7
2019-20,Playoffs,POR,Portland Trail Blazers,5,240.0,1,4,7.4,3.6,33.0,21.6,32.2,67.1
2019-20,Playoffs,TOR,Toronto Raptors,11,244.5,7,4,7.1,5.5,36.5,13.5,21.5,62.4
2019-20,Playoffs,UTA,Utah Jazz,7,243.6,3,4,6.1,3.1,31.9,12.3,22.9,53.8
