SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2016-17,pre-season,DAL,3,2,1,3.1,70.6,29.4,60.9,26.1,13.0,21.7,26.1,17.4,34.8,71.4,28.6,100,0.0,75.0,25.0
2016-17,pre-season,DEN,4,2,2,4.0,77.1,22.9,57.8,13.3,20.0,8.9,22.2,20.0,44.4,46.2,53.8,33.3,66.7,43.8,56.3
2016-17,pre-season,MEM,2,2,0,9.1,50.0,50.0,35.6,8.9,40.0,13.3,24.4,33.3,26.7,37.5,62.5,100,0.0,64.3,35.7
2016-17,pre-season,MIL,2,2,0,2.9,55.6,44.4,25.0,25.0,37.5,0.0,37.5,37.5,0.0,0.0,100,100,0.0,50.0,50.0
2016-17,pre-season,NYK,3,2,1,2.2,81.3,18.8,70.6,11.8,17.6,35.3,11.8,11.8,58.8,83.3,16.7,100,0.0,85.7,14.3
2016-17,pre-season,ORL,5,2,3,3.9,71.4,28.6,71.8,15.4,7.7,5.1,20.5,23.1,56.4,35.7,64.3,100,0.0,40.0,60.0
2016-17,pre-season,PHI,4,2,2,6.1,72.2,27.8,47.8,4.3,19.6,17.4,32.6,30.4,43.5,63.6,36.4,100,0.0,71.4,28.6
2016-17,pre-season,SAS,3,2,1,2.2,46.2,53.8,0.0,0.0,85.7,21.4,14.3,57.1,0.0,0.0,0.0,100,0.0,100,0.0
2016-17,pre-season,UTA,5,2,3,1.9,71.4,28.6,43.5,8.7,0.0,4.3,56.5,26.1,34.8,40.0,60.0,0.0,0.0,40.0,60.0
2016-17,pre-season,WAS,4,2,2,4.5,77.1,22.9,66.7,14.8,0.0,14.8,33.3,18.5,51.9,55.6,44.4,0.0,0.0,55.6,44.4
2016-17,pre-season,BKN,3,1,2,2.3,92.3,7.7,60.0,20.0,0.0,30.0,40.0,30.0,40.0,66.7,33.3,0.0,0.0,66.7,33.3
2016-17,pre-season,CLE,3,1,2,3.3,61.1,38.9,62.5,0.0,18.8,25.0,18.8,43.8,62.5,80.0,20.0,100,0.0,83.3,16.7
2016-17,pre-season,DET,3,1,2,2.3,75.0,25.0,66.7,33.3,0.0,0.0,33.3,41.7,33.3,25.0,75.0,0.0,0.0,25.0,75.0
2016-17,pre-season,HOU,2,1,1,9.4,67.7,32.3,46.2,5.1,30.8,12.8,23.1,12.8,41.0,22.2,77.8,100,0.0,46.2,53.8
2016-17,pre-season,IND,3,1,2,1.2,60.0,40.0,40.0,0.0,60.0,40.0,0.0,40.0,40.0,100,0.0,100,0.0,100,0.0
2016-17,pre-season,LAL,5,1,4,4.2,55.6,44.4,48.3,6.9,20.7,20.7,31.0,0.0,41.4,14.3,85.7,50.0,50.0,22.2,77.8
2016-17,pre-season,-,1,1,0,9.1,53.3,46.7,34.5,20.7,51.7,10.3,13.8,10.3,13.8,40.0,60.0,100,0.0,70.0,30.0
