SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2025-26,Regular+Season,LAL,Los Angeles Lakers,35,23,12,240.0,38.9,10.7,18.8,56.8,5.7,7.4,77.9,28.3,72.6,12.9,33.2,3.5,9.1,2.5,6.3,3.8,9.7
2025-26,Regular+Season,MEM,Memphis Grizzlies,37,16,21,241.4,45.9,10.1,21.8,46.3,5.4,6.8,78.7,26.5,57.8,16.4,35.7,4.3,9.4,2.9,6.4,3.5,7.7
2025-26,Regular+Season,MIA,Miami Heat,35,19,16,240.7,61.3,13.4,27.6,48.5,5.9,7.7,76.3,33.5,54.7,24.5,39.9,5.7,9.3,3.8,6.2,3.9,6.4
2025-26,Regular+Season,MIL,Milwaukee Bucks,36,16,20,241.4,42.9,9.8,18.9,52.0,4.3,5.9,73.2,24.7,57.5,17.3,40.2,4.9,11.5,2.5,5.8,3.0,7.0
2025-26,Regular+Season,MIN,Minnesota Timberwolves,37,24,13,242.0,44.1,11.1,21.1,52.6,6.5,8.3,78.2,29.8,67.6,15.5,35.0,4.4,9.9,2.4,5.4,4.2,9.5
2025-26,Regular+Season,NOP,New Orleans Pelicans,39,8,31,242.6,53.7,12.7,27.2,46.8,7.5,9.6,77.9,34.1,63.4,16.9,31.5,4.0,7.4,3.2,5.9,4.9,9.1
2025-26,Regular+Season,NYK,New York Knicks,37,24,13,240.0,51.1,12.3,25.3,48.6,5.6,6.9,80.8,31.1,60.9,18.3,35.8,4.3,8.5,3.0,5.9,3.5,6.8
2025-26,Regular+Season,OKC,Oklahoma City Thunder,38,31,7,243.3,54.3,12.4,24.6,50.5,7.1,8.3,85.7,33.0,60.8,21.3,39.3,5.5,10.1,2.9,5.3,4.2,7.8
2025-26,Regular+Season,ORL,Orlando Magic,38,21,17,242.0,49.9,12.7,25.6,49.8,7.2,9.1,78.7,33.8,67.6,15.6,31.1,3.9,7.8,2.9,5.9,4.6,9.3
2025-26,Regular+Season,PHI,Philadelphia 76ers,35,20,15,244.3,45.3,10.6,22.7,46.7,6.4,7.7,83.3,28.7,63.4,14.9,33.0,3.6,8.0,2.7,6.0,3.9,8.6
2025-26,Regular+Season,PHX,Phoenix Suns,37,22,15,240.7,47.5,10.1,21.1,48.0,4.4,5.3,83.2,25.5,53.7,19.4,40.7,4.7,9.9,3.2,6.7,2.7,5.6
2025-26,Regular+Season,POR,Portland Trail Blazers,38,18,20,241.3,60.2,10.6,22.8,46.5,7.4,9.3,78.9,29.8,49.5,26.3,43.8,5.9,9.8,4.5,7.5,4.8,8.0
2025-26,Regular+Season,SAC,Sacramento Kings,37,8,29,242.0,48.8,9.1,20.5,44.4,5.5,7.5,72.9,24.2,49.7,19.6,40.3,5.0,10.3,3.6,7.3,3.8,7.8
2025-26,Regular+Season,SAS,San Antonio Spurs,37,26,11,240.7,51.3,12.1,23.2,51.9,5.8,7.5,77.0,30.9,60.1,18.9,36.9,4.7,9.2,3.8,7.4,3.8,7.3
2025-26,Regular+Season,TOR,Toronto Raptors,38,23,15,241.3,46.3,9.8,20.2,48.2,5.1,6.7,76.0,25.4,54.8,18.6,40.1,4.3,9.3,3.2,6.9,3.3,7.2
2025-26,Regular+Season,UTA,Utah Jazz,36,12,24,244.2,43.2,9.6,19.6,48.8,6.4,7.3,86.7,26.5,61.4,15.9,36.8,4.5,10.4,2.9,6.7,3.8,8.7
2025-26,Regular+Season,WAS,Washington Wizards,36,10,26,241.4,45.3,10.1,22.3,45.6,5.2,6.6,78.2,25.9,57.3,15.3,33.7,4.3,9.6,3.3,7.2,3.3,7.4
2025-26,IST,ATL,Atlanta Hawks,4,2,2,240.0,50.5,9.8,20.8,47.0,4.8,6.0,79.2,24.5,48.5,21.5,42.6,6.8,13.4,2.5,5.0,3.0,5.9
2025-26,IST,BOS,Boston Celtics,4,2,2,240.0,47.3,13.3,24.8,53.5,3.3,4.5,72.2,31.0,65.6,16.3,34.4,3.5,7.4,2.5,5.3,2.3,4.8
2025-26,IST,BKN,Brooklyn Nets,4,1,3,240.0,47.3,10.3,21.0,48.8,6.0,7.3,82.8,27.0,57.1,18.0,38.1,4.8,10.1,3.5,7.4,4.0,8.5
2025-26,IST,CHA,Charlotte Hornets,4,1,3,246.3,59.0,14.0,30.3,46.3,6.8,7.5,90.0,36.0,61.0,20.0,33.9,3.8,6.4,3.8,6.4,3.8,6.4
2025-26,IST,CHI,Chicago Bulls,4,1,3,240.0,61.3,13.3,25.5,52.0,9.8,11.5,84.8,36.8,60.0,26.0,42.4,5.3,8.6,3.0,4.9,6.0,9.8
2025-26,IST,CLE,Cleveland Cavaliers,4,2,2,240.0,43.3,8.8,19.0,46.1,4.0,5.5,72.7,21.8,50.3,17.5,40.5,5.8,13.3,2.5,5.8,2.8,6.4
