SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2015-16,Pre+Season,Joshua Smith,1626288,HOU,24,7,3,4,15.8,98.8,105.3,-6.6,10.1,0.54,12.3,14.8,0.0,0.0,22.8,61.1,59.6,17.5,104.93,7.0,240
2015-16,Pre+Season,Jrue Holiday,201950,NOP,26,7,3,4,12.9,114.1,91.2,22.8,28.1,1.60,21.9,4.0,14.2,9.2,13.7,53.8,58.5,25.8,102.69,17.2,192
2015-16,Pre+Season,Justin Anderson,1626147,DAL,22,7,0,7,24.4,79.9,100.8,-20.9,7.9,0.44,7.3,2.0,9.1,5.5,16.7,37.9,40.6,21.8,103.24,2.8,369
2015-16,Pre+Season,Karl-Anthony Towns,1626157,MIN,20,7,2,5,23.0,89.9,112.4,-22.5,7.1,0.45,6.0,8.5,25.0,16.5,13.1,52.6,60.3,22.3,95.21,16.7,317
2015-16,Pre+Season,Kemba Walker,202689,CHA,26,7,6,1,22.5,100.0,88.4,11.6,28.4,1.77,19.3,0.6,5.3,2.9,10.9,50.7,56.3,26.6,100.81,12.1,333
2015-16,Pre+Season,Kendrick Perkins,2570,NOP,31,7,3,4,16.4,103.3,89.1,14.2,3.8,0.33,8.1,8.3,17.8,13.2,24.3,39.1,44.4,12.6,100.18,5.5,239
2015-16,Pre+Season,Kentavious Caldwell-Pope,203484,DET,23,7,2,5,23.8,102.1,94.6,7.5,10.4,1.10,14.1,0.6,12.7,6.6,12.8,57.7,59.4,17.6,96.54,11.0,336
2015-16,Pre+Season,Kris Humphries,2743,ATL,31,7,4,3,24.6,111.0,99.7,11.2,4.0,0.71,6.7,6.9,23.7,15.9,9.3,46.3,53.7,17.2,102.50,10.2,365
2015-16,Pre+Season,Lavoy Allen,202730,IND,27,7,5,2,18.1,91.8,101.2,-9.4,5.8,1.00,8.2,10.0,22.8,15.9,8.2,40.0,41.6,15.2,96.83,11.0,255
2015-16,Pre+Season,Leandro Barbosa,2571,GSW,33,7,3,4,12.3,100.5,99.5,1.1,15.6,2.33,11.3,2.2,12.0,6.9,4.8,57.6,61.4,26.1,105.77,19.0,190
2015-16,Pre+Season,Marcin Gortat,101162,WAS,32,7,4,3,24.8,117.1,102.7,14.4,10.3,1.33,12.6,5.9,18.9,13.1,9.5,65.6,71.3,19.9,103.41,16.4,375
2015-16,Pre+Season,Marreese Speights,201578,GSW,28,7,3,4,15.4,92.8,98.8,-5.9,13.8,0.89,10.1,6.3,23.5,14.7,11.4,39.1,45.5,26.1,106.93,11.8,237
2015-16,Pre+Season,Marvin Williams,101107,CHA,30,7,7,0,21.4,103.9,85.1,18.8,9.8,1.80,15.5,3.3,16.1,10.1,8.6,46.1,49.7,14.5,98.95,9.9,311
2015-16,Pre+Season,Mason Plumlee,203486,POR,26,7,3,4,21.3,101.8,101.8,0.0,11.3,0.73,17.7,5.3,20.5,12.8,24.2,69.0,62.4,14.1,104.69,8.1,325
2015-16,Pre+Season,Meyers Leonard,203086,POR,24,7,3,4,24.7,96.1,98.4,-2.3,9.5,0.71,12.3,1.1,23.8,12.9,17.3,60.8,63.9,17.0,104.67,12.6,380
2015-16,Pre+Season,Nemanja Bjelica,202357,MIN,28,7,2,5,20.3,108.6,108.5,0.2,10.1,0.50,12.1,0.0,19.2,0.0,24.2,60.8,64.0,18.4,94.97,9.2,279
2015-16,Pre+Season,Nikola Jokić,203999,DEN,21,7,4,3,21.8,99.7,93.1,6.6,4.7,0.40,5.8,9.0,13.5,11.2,14.5,74.4,73.8,17.5,100.19,16.5,319
2015-16,Pre+Season,Nikola Vučević,202696,ORL,25,7,6,1,23.9,100.6,88.1,12.5,13.1,0.92,8.9,8.0,20.3,14.2,9.7,48.9,51.7,29.9,95.86,17.0,333
2015-16,Pre+Season,Noah Vonleh,203943,POR,20,7,3,4,22.6,106.6,95.0,11.6,2.7,0.50,5.2,15.6,17.4,16.5,10.3,44.2,46.2,14.7,96.77,8.6,318
2015-16,Pre+Season,Otto Porter Jr.,203490,WAS,23,7,4,3,24.8,114.2,94.7,19.6,14.3,2.25,20.0,2.3,10.4,6.7,8.9,64.8,70.2,17.0,103.29,14.7,372
2015-16,Pre+Season,Pat Connaughton,1626192,POR,23,7,3,4,18.5,89.8,96.3,-6.5,12.0,2.00,20.0,1.4,17.1,9.1,10.0,41.2,43.9,12.5,100.71,6.8,275
2015-16,Pre+Season,Patrick Beverley,201976,HOU,27,7,2,5,24.0,98.0,106.0,-7.9,25.0,2.89,28.9,3.5,10.2,6.5,10.0,47.0,49.6,15.1,101.09,8.3,356
2015-16,Pre+Season,Patrick Patterson,202335,TOR,27,7,5,2,19.3,94.5,94.8,-0.3,6.7,0.83,12.2,2.8,8.6,5.5,14.6,32.8,35.1,11.5,95.83,3.6,272
2015-16,Pre+Season,Paul George,202331,IND,26,7,5,2,24.4,108.5,100.8,7.6,12.1,0.85,7.9,4.7,20.9,12.9,9.4,51.6,57.3,32.3,99.62,16.9,355
2015-16,Pre+Season,RJ Hunter,1626154,BOS,22,7,6,1,18.9,90.4,94.3,-3.9,20.0,2.13,27.0,0.0,8.8,4.5,12.7,38.9,41.0,14.6,101.96,7.4,282
2015-16,Pre+Season,Ramon Sessions,201196,WAS,30,7,4,3,20.1,109.4,97.0,12.4,41.2,4.20,42.9,3.5,9.5,6.5,10.2,45.6,58.8,16.8,101.94,16.3,299
2015-16,Pre+Season,Raul Neto,203526,UTA,24,7,3,4,17.0,94.5,91.0,3.5,28.1,3.60,30.0,4.8,5.5,5.2,8.3,41.4,43.5,16.1,95.37,8.9,238
2015-16,Pre+Season,Richaun Holmes,1626158,PHI,22,7,2,5,14.6,86.9,96.1,-9.3,6.7,0.40,8.5,7.0,13.9,10.3,21.3,42.9,42.6,16.7,110.12,-0.5,236
2015-16,Pre+Season,Robert Covington,203496,PHI,25,7,2,5,24.2,96.6,96.6,0.0,16.3,0.84,14.3,6.4,14.4,10.2,17.0,47.9,53.3,22.4,107.17,11.1,378
