SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2016-17,Pre+Season,DAL,Dallas Mavericks,16.3,27.7,58.8,2.6,6.7,38.3,3.0,6.6,45.7,4.4,12.4,35.6,7.3,18.1,40.2,3.7,12.3,30.2
2016-17,Pre+Season,DEN,Denver Nuggets,16.1,29.3,55.1,3.1,8.5,36.8,2.5,6.6,37.7,4.6,12.5,37.0,6.6,19.6,33.8,5.1,11.3,45.6
2016-17,Pre+Season,DET,Detroit Pistons,14.8,28.0,53.0,2.8,8.7,32.7,1.8,5.0,36.7,3.7,11.5,31.9,5.8,15.3,38.0,3.8,11.2,34.3
2016-17,Pre+Season,GSW,Golden State Warriors,17.4,30.1,57.8,1.7,5.4,31.6,1.6,7.3,21.6,5.0,13.4,37.2,5.4,12.4,43.7,6.0,18.7,32.1
2016-17,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,34.0,37.0,91.9,4.0,9.0,44.4,1.0,4.0,25.0,3.0,8.0,37.5,4.0,10.0,40.0,7.0,11.0,63.6
2016-17,Pre+Season,HOU,Houston Rockets,17.6,28.0,62.8,3.7,9.0,41.3,2.7,6.7,40.4,4.4,12.7,34.8,5.3,19.6,27.0,4.7,12.9,36.7
2016-17,Pre+Season,IND,Indiana Pacers,17.8,29.2,61.1,2.3,5.3,43.8,2.7,8.2,32.7,4.3,11.8,36.6,2.8,10.7,26.6,5.7,14.5,39.1
2016-17,Pre+Season,LAC,LA Clippers,17.0,26.5,64.2,2.7,6.3,42.1,1.8,5.7,32.4,5.0,12.0,41.7,6.2,14.8,41.6,3.7,9.7,37.9
2016-17,Pre+Season,LAL,Los Angeles Lakers,20.0,33.6,59.5,2.3,5.4,41.9,2.0,5.9,34.0,3.5,11.0,31.8,5.0,13.4,37.4,5.4,15.3,35.2
2016-17,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,28.0,40.0,70.0,1.0,5.0,20.0,3.0,4.0,75.0,7.0,11.0,63.6,8.0,22.0,36.4,5.0,13.0,38.5
2016-17,Pre+Season,MEM,Memphis Grizzlies,18.3,30.5,60.1,1.8,7.7,23.9,2.3,5.2,45.2,3.0,8.3,36.0,5.2,15.0,34.4,4.2,12.8,32.5
2016-17,Pre+Season,MIA,Miami Heat,14.4,27.4,52.5,4.4,10.9,40.2,2.6,7.8,33.9,4.9,13.3,36.8,3.5,13.4,26.2,4.9,11.3,43.3
2016-17,Pre+Season,MIL,Milwaukee Bucks,16.8,27.7,60.8,2.8,7.2,39.5,2.7,7.3,36.4,3.7,11.5,31.9,4.2,11.3,36.8,5.2,16.3,31.6
2016-17,Pre+Season,MIN,Minnesota Timberwolves,17.3,28.3,61.1,2.4,7.3,33.3,2.1,5.6,38.5,3.3,9.7,33.8,5.9,21.7,27.0,3.4,8.7,39.3
2016-17,Pre+Season,NOP,New Orleans Pelicans,19.5,33.8,57.6,2.5,7.3,34.1,2.8,6.8,41.5,3.0,10.0,30.0,7.8,21.5,36.4,4.8,13.3,36.3
2016-17,Pre+Season,NYK,New York Knicks,17.5,28.5,61.4,2.7,5.2,51.6,1.3,5.0,26.7,4.3,8.0,54.2,5.2,16.8,30.7,6.3,15.3,41.3
2016-17,Pre+Season,OKC,Oklahoma City Thunder,14.5,26.0,55.8,3.2,8.3,38.0,2.7,5.7,47.1,2.7,7.5,35.6,8.7,23.3,37.1,4.2,11.5,36.2
2016-17,Pre+Season,ORL,Orlando Magic,17.6,29.3,60.0,4.0,9.3,43.1,2.3,6.9,33.3,4.3,10.7,40.0,6.4,14.4,44.6,3.9,13.4,28.7
2016-17,Pre+Season,PHI,Philadelphia 76ers,18.4,30.7,60.0,2.7,8.7,31.1,3.7,7.9,47.3,4.7,10.9,43.4,4.9,13.6,35.8,5.0,13.6,36.8
2016-17,Pre+Season,PHX,Phoenix Suns,16.3,26.3,62.0,1.8,8.5,21.6,3.3,8.0,41.7,4.2,14.3,29.1,5.2,13.3,38.8,3.8,11.7,32.9
2016-17,Pre+Season,POR,Portland Trail Blazers,15.7,26.3,59.8,3.3,10.0,32.9,2.9,8.0,35.7,4.1,11.6,35.8,7.3,19.4,37.5,3.6,10.3,34.7
2016-17,Pre+Season,SAC,Sacramento Kings,15.8,26.2,60.5,2.0,5.0,40.0,1.7,4.3,38.5,3.3,9.5,35.1,6.5,17.2,37.9,7.3,18.5,39.6
2016-17,Pre+Season,SAS,San Antonio Spurs,17.8,32.8,54.3,3.7,10.0,36.7,2.2,5.7,38.2,3.7,10.7,34.4,5.0,11.2,44.8,2.3,12.3,18.9
2016-17,Pre+Season,Shanghai Shanghai Sharks,Shanghai Shanghai Sharks,30.0,41.0,73.2,2.0,2.0,100,0.0,1.0,0.0,2.0,5.0,40.0,9.0,27.0,33.3,6.0,18.0,33.3
2016-17,Pre+Season,TOR,Toronto Raptors,14.4,23.4,61.6,3.1,6.7,46.8,1.6,5.9,26.8,5.1,11.1,46.2,6.3,14.1,44.4,5.6,15.7,35.5
2016-17,Pre+Season,UTA,Utah Jazz,16.7,28.0,59.5,2.0,5.5,36.4,2.8,6.8,41.5,3.5,11.5,30.4,6.0,17.2,35.0,2.7,10.2,26.2
2016-17,Pre+Season,WAS,Washington Wizards,16.1,26.4,61.1,4.1,7.4,55.8,2.4,5.6,43.6,4.1,12.6,33.0,4.9,12.7,38.2,4.7,15.3,30.8
2016-17,Regular+Season,ATL,Atlanta Hawks,15.1,26.4,57.3,3.2,7.7,40.9,3.1,7.2,43.2,5.0,11.9,42.3,8.1,21.1,38.3,4.2,12.4,33.7
2016-17,Regular+Season,BOS,Boston Celtics,17.2,29.0,59.4,3.9,8.9,43.4,2.5,6.2,40.2,4.5,11.0,41.5,5.5,15.2,35.8,5.0,14.8,33.9
