SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,VS_PLAYER_NAME,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2016-17,All+Star,,1962937597,WST,1,0,1,48.6,63.6,109.1,58.3,27.3,54.5,50.0,0.0,0.0,0.0,27.3,45.5,72.7,18.2,18.2,27.3,0.0,0.0,0.0,9.1,154.5,90.9,0,0
2016-17,All+Star,Abrines, Alex,203518,WLD,1,1,0,40.8,58.1,87.1,66.7,16.1,32.3,50.0,0.0,12.9,0.0,9.7,32.3,41.9,19.4,9.7,9.7,0.0,0.0,0.0,16.1,132.3,25.8,0,0
2016-17,All+Star,Antetokounmpo, Giannis,203507,EST,1,0,1,32.7,52.9,92.9,56.9,10.0,42.9,23.3,1.4,2.9,50.0,8.6,27.1,35.7,34.3,11.4,11.4,0.0,1.4,12.9,2.9,117.1,0.0,0,0
2016-17,All+Star,Anthony, Carmelo,2546,EST,1,0,1,33.9,60.7,98.2,61.8,16.1,44.6,36.0,3.6,3.6,100,7.1,35.7,42.9,50.0,7.1,10.7,1.8,0.0,8.9,3.6,141.1,30.4,0,0
2016-17,All+Star,Booker, Devin,1626164,USA,1,0,1,36.9,63.8,110.1,57.9,18.8,49.3,38.2,7.2,11.6,62.5,21.7,26.1,47.8,37.7,10.1,8.7,1.4,2.9,8.7,7.2,153.6,26.1,0,0
2016-17,All+Star,Brogdon, Malcolm,1627763,USA,1,0,1,35.1,52.5,95.1,55.2,18.0,49.2,36.7,6.6,9.8,66.7,18.0,26.2,44.3,27.9,16.4,9.8,1.6,1.6,9.8,4.9,129.5,6.6,0,0
2016-17,All+Star,Butler III, Jimmy,202710,EST,1,0,1,31.4,53.2,95.2,55.9,12.9,45.2,28.6,1.6,3.2,50.0,11.3,30.6,41.9,35.5,12.9,9.7,0.0,1.6,11.3,3.2,121.0,4.8,0,0
2016-17,All+Star,Chriss, Marquese,1627737,USA,1,0,1,36.6,64.0,102.0,62.7,22.0,46.0,47.8,8.0,14.0,57.1,18.0,26.0,44.0,40.0,10.0,6.0,0.0,2.0,12.0,8.0,158.0,38.0,0,0
2016-17,All+Star,Cousins, DeMarcus,202326,WST,1,1,0,35.0,57.1,85.7,66.7,0.0,28.6,0.0,0.0,0.0,0.0,0.0,42.9,42.9,28.6,14.3,0.0,0.0,0.0,0.0,28.6,114.3,-14.3,0,0
2016-17,All+Star,Curry, Stephen,201939,WST,1,1,0,32.5,52.9,92.0,57.5,10.3,33.3,31.0,2.3,2.3,100,5.7,28.7,34.5,32.2,10.3,12.6,1.1,0.0,2.3,9.2,118.4,-1.1,0,0
2016-17,All+Star,Davis, Anthony,203076,WST,1,1,0,31.8,51.0,90.0,56.7,15.0,37.0,40.5,4.0,4.0,100,7.0,26.0,33.0,31.0,13.0,13.0,1.0,1.0,4.0,7.0,121.0,-3.0,0,0
2016-17,All+Star,DeRozan, DeMar,201942,EST,1,0,1,31.7,53.9,92.1,58.6,10.5,32.9,32.0,1.3,2.6,50.0,10.5,31.6,42.1,38.2,15.8,9.2,1.3,1.3,6.6,3.9,119.7,-7.9,0,0
2016-17,All+Star,Durant, Kevin,201142,WST,1,1,0,31.9,52.9,91.8,57.7,12.9,34.1,37.9,2.4,2.4,100,5.9,25.9,31.8,32.9,9.4,12.9,1.2,0.0,3.5,8.2,121.2,0.0,0,0
2016-17,All+Star,Exum, Danté,203957,WLD,1,1,0,36.8,51.9,94.4,54.9,13.0,40.7,31.8,3.7,7.4,50.0,14.8,24.1,38.9,14.8,18.5,5.6,1.9,1.9,7.4,7.4,120.4,-18.5,0,0
2016-17,All+Star,Gasol, Marc,201188,WST,1,1,0,32.6,48.5,92.4,52.5,18.2,45.5,40.0,3.0,3.0,100,10.6,25.8,36.4,30.3,13.6,10.6,0.0,1.5,3.0,4.5,118.2,-9.1,0,0
2016-17,All+Star,George, Paul,202331,EST,1,0,1,31.5,54.3,92.9,58.5,12.9,37.1,34.6,2.9,2.9,100,8.6,32.9,41.4,42.9,10.0,10.0,0.0,0.0,4.3,2.9,124.3,4.3,0,0
2016-17,All+Star,Green, Draymond,203110,WST,1,1,0,32.4,56.9,98.0,58.0,17.6,45.1,39.1,0.0,0.0,0.0,7.8,25.5,33.3,27.5,11.8,9.8,0.0,0.0,3.9,5.9,131.4,-3.9,0,0
