SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
2015-16,Pre+Season,LAC,,16,4,12,14.2,2.9,0.8,37.5,0.6,27.3,1.8,28.9,0.0,0.0,0.0,0.0,0.0,0.0,41.1,0,0
2015-16,Pre+Season,OKC,,26,23,3,5.3,1.8,0.1,0.0,1.3,31.4,0.1,20.0,0.1,0.0,0.0,0.0,0.1,100,45.5,0,0
2015-16,Pre+Season,DEN,,14,10,4,28.9,9.5,1.0,42.9,1.6,29.6,0.3,14.3,3.3,70.4,0.0,0.0,1.4,58.3,49.1,0,0
2015-16,Pre+Season,MEM,,12,4,8,15.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.2,0.0,0.0,0.1,0.0,41.9,0,0
2015-16,Pre+Season,TOR,,2,0,2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Pre+Season,HOU,,32,19,13,11.5,3.6,0.1,40.0,0.0,0.0,0.0,0.0,3.1,53.6,0.0,0.0,0.4,55.6,53.1,0,0
2015-16,Pre+Season,CHI,,18,9,9,28.0,18.6,7.5,57.3,4.9,39.0,2.7,27.5,0.3,100,0.0,0.0,0.3,66.7,52.9,0,0
2015-16,Pre+Season,IND,,4,0,4,13.8,1.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0
2015-16,Pre+Season,UTA,,24,6,18,14.5,4.4,1.2,46.2,0.9,17.9,0.2,33.3,0.8,75.0,0.0,0.0,0.3,100,45.2,0,0
2015-16,Pre+Season,DET,,1,0,1,6.8,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0,0
2015-16,Pre+Season,MIL,,26,11,15,15.1,6.7,3.5,52.4,0.9,27.6,2.9,45.3,0.2,50.0,0.0,0.0,0.0,0.0,49.1,0,0
2015-16,Pre+Season,PHX,,38,23,15,28.0,13.4,2.7,44.9,5.7,51.8,4.8,35.5,0.3,75.0,0.0,0.0,0.1,66.7,57.2,0,0
2015-16,Pre+Season,TOR,,32,18,14,19.7,7.1,0.6,50.0,1.5,34.0,0.2,28.6,2.8,60.3,0.1,100,1.0,59.1,57.4,0,0
2015-16,Pre+Season,CHA,,31,11,20,23.9,15.2,6.2,50.0,3.0,47.0,2.2,29.0,0.7,55.6,0.0,0.0,0.3,28.6,54.8,0,0
2015-16,Pre+Season,DAL,,37,14,23,34.5,18.7,8.6,54.4,1.5,28.2,4.2,35.6,1.6,59.1,0.2,42.9,0.9,61.9,50.4,0,0
2015-16,Pre+Season,ATL,,19,2,17,19.5,9.2,1.9,63.6,3.9,41.7,0.9,31.6,0.6,83.3,0.0,0.0,0.0,0.0,62.2,0,0
2015-16,Pre+Season,CLE,,34,21,13,17.5,4.9,1.6,49.1,0.7,42.1,1.6,40.7,0.5,75.0,0.0,0.0,0.4,100,55.8,0,0
2015-16,Pre+Season,DEN,,5,3,2,4.4,0.8,0.4,50.0,0.0,0.0,0.0,0.0,0.4,100,0.0,0.0,0.0,0.0,20.0,0,0
2015-16,Pre+Season,DAL,,26,9,17,19.0,10.2,3.8,52.0,2.2,32.2,4.0,37.3,0.2,50.0,0.1,100,0.0,0.0,47.6,0,0
2015-16,Pre+Season,DEN,,9,5,4,13.7,4.6,0.0,0.0,3.0,42.9,0.3,100,0.7,40.0,0.0,0.0,0.0,0.0,62.1,0,0
2015-16,Pre+Season,SAC,,1,0,1,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,20.0,0,0
2015-16,Pre+Season,CHI,,23,10,13,10.4,2.6,0.5,42.9,0.7,25.0,0.1,20.0,0.3,50.0,0.0,0.0,0.1,100,47.5,0,0
2015-16,Pre+Season,LAL,,31,19,12,13.3,5.2,1.1,51.9,2.3,33.3,1.0,48.3,0.6,61.5,0.0,0.0,0.2,75.0,53.9,0,0
2015-16,Pre+Season,DAL,,27,8,19,20.7,8.2,0.9,47.4,0.1,100,0.1,33.3,5.4,70.9,0.4,66.7,1.1,66.7,62.3,0,0
2015-16,Pre+Season,DET,,30,22,8,16.4,7.6,2.5,44.1,2.2,48.9,2.0,31.6,0.5,87.5,0.0,0.0,0.1,66.7,50.3,0,0
2015-16,Pre+Season,BKN,,21,8,13,19.3,7.5,2.9,43.6,2.9,37.7,0.6,23.8,0.8,66.7,0.0,0.0,0.4,50.0,46.9,0,0
2015-16,Pre+Season,SAC,,5,1,4,8.3,1.0,0.0,0.0,0.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0
2015-16,Pre+Season,CLE,,23,12,11,30.4,17.7,6.6,50.0,3.7,38.7,5.7,38.3,0.3,50.0,0.0,0.0,0.1,100,52.3,0,0
2015-16,Pre+Season,SAS,,11,7,4,6.2,2.9,1.7,53.3,0.3,33.3,0.5,66.7,0.2,50.0,0.0,0.0,0.0,0.0,58.0,0,0
2015-16,Pre+Season,MIA,,34,19,15,29.7,9.3,4.5,54.3,2.5,38.4,2.0,48.3,0.1,50.0,0.0,0.0,0.1,66.7,54.6,0,0
2015-16,Pre+Season,BKN,,34,11,23,17.6,7.5,0.5,50.0,0.4,20.8,0.1,25.0,5.3,70.1,0.4,62.5,1.0,64.0,61.7,0,0
2015-16,Pre+Season,SAS,,29,21,8,32.5,21.0,7.6,50.0,2.4,29.6,8.1,43.2,1.0,73.7,0.1,100,0.4,75.0,53.4,0,0
2015-16,Pre+Season,CLE,,34,19,15,27.2,14.3,3.2,45.5,4.4,34.2,3.2,41.5,1.4,69.0,0.0,0.0,0.7,69.2,50.1,0,0
2015-16,Pre+Season,GSW,,14,9,5,20.5,9.7,2.6,35.5,3.9,39.6,0.5,13.6,1.0,70.0,0.0,0.0,0.3,66.7,47.4,0,0
2015-16,Pre+Season,NOP,,2,0,2,11.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,100,0.0,0.0,1.0,100,80.0,0,0
2015-16,Pre+Season,SAC,,38,8,30,33.1,18.5,4.8,51.5,3.3,40.5,6.5,46.6,0.9,86.7,1.5,56.8,0.9,56.0,53.0,0,0
2015-16,Pre+Season,CLE,,34,19,15,22.6,5.8,0.3,37.5,3.5,32.8,0.3,36.4,0.7,56.3,0.0,0.0,0.4,100,51.8,0,0
2015-16,Pre+Season,LAL,,32,20,12,29.3,13.9,0.6,52.9,2.2,59.3,0.2,27.3,10.1,73.6,0.8,57.1,2.7,58.6,68.2,0,0
2015-16,Pre+Season,POR,,39,19,20,35.3,26.1,10.3,50.0,5.3,41.4,3.3,35.1,1.1,55.2,0.2,60.0,0.8,52.4,53.6,0,0
2015-16,Pre+Season,SAC,,31,7,24,27.3,13.0,5.3,41.9,3.3,35.8,3.6,40.8,0.1,50.0,0.0,0.0,0.1,50.0,48.1,0,0
2015-16,Pre+Season,DAL,,7,3,4,16.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,73.3,0.0,0.0,0.3,25.0,61.1,0,0
2015-16,Pre+Season,NOP,,39,9,30,26.1,12.9,5.3,51.9,0.6,20.8,1.6,38.8,3.3,69.2,0.6,42.9,1.0,62.5,50.5,0,0
2015-16,Pre+Season,LAC,,17,7,10,24.2,10.4,1.2,50.0,3.8,40.7,0.3,40.0,2.7,80.0,0.0,0.0,0.6,60.0,65.0,0,0
2015-16,Pre+Season,BOS,,37,23,14,34.2,18.6,4.9,46.8,4.0,29.5,8.5,39.1,0.5,53.3,0.0,0.0,0.2,66.7,49.9,0,0
2015-16,Pre+Season,ORL,,39,21,18,33.8,19.0,7.6,52.1,2.7,34.6,4.2,34.2,1.3,72.4,0.0,0.0,0.5,58.8,50.6,0,0
2015-16,Pre+Season,PHX,,35,22,13,34.1,25.5,9.7,52.9,2.3,35.9,10.2,41.8,1.1,50.0,0.3,42.9,0.5,61.5,50.6,0,0
2015-16,Pre+Season,SAC,,12,1,11,8.4,3.2,0.8,27.3,0.8,21.4,0.5,25.0,0.3,66.7,0.0,0.0,0.2,100,40.8,0,0
2015-16,Pre+Season,SAS,,32,23,9,31.9,15.0,1.8,39.3,7.3,39.8,4.3,41.1,0.2,60.0,0.0,0.0,0.1,100,52.9,0,0
2015-16,Pre+Season,PHX,,32,20,12,30.9,21.3,6.7,52.6,4.9,35.5,8.6,45.2,0.9,66.7,0.9,50.0,0.4,75.0,53.2,0,0
2015-16,Pre+Season,SAC,,11,2,9,33.2,17.2,1.1,55.6,2.7,38.2,0.0,0.0,10.4,62.7,0.8,22.2,6.2,63.6,52.4,0,0
2015-16,Pre+Season,PHI,,26,16,10,24.9,8.5,1.6,58.3,1.3,27.3,0.1,11.1,3.4,69.6,0.1,100,0.2,33.3,57.7,0,0
2015-16,Pre+Season,POR,,35,19,16,27.2,11.1,0.1,40.0,3.0,37.1,0.1,11.1,7.1,66.2,0.2,75.0,0.5,54.5,59.8,0,0
2015-16,Pre+Season,CLE,,35,20,15,33.8,29.7,8.8,59.8,5.3,43.8,10.3,41.1,0.9,56.5,0.0,0.0,0.2,75.0,58.8,0,0
2015-16,Pre+Season,MIN,,38,24,14,31.3,13.1,1.7,43.4,7.4,37.6,2.1,39.0,0.3,54.5,0.0,0.0,0.1,100,55.0,0,0
2015-16,Pre+Season,HOU,,8,5,3,15.4,2.6,0.0,0.0,2.3,28.6,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0,0
2015-16,Pre+Season,SAC,,7,1,6,10.0,3.4,0.0,0.0,3.4,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0,0
2015-16,Pre+Season,BKN,,26,8,18,18.1,5.8,1.5,50.0,1.7,31.3,1.3,46.9,0.2,50.0,0.0,0.0,0.2,100,53.4,0,0
2015-16,Pre+Season,GSW,,32,18,14,27.0,8.7,1.6,62.9,4.6,33.6,0.1,22.2,1.3,50.0,0.0,0.0,0.2,28.6,52.7,0,0
2015-16,Pre+Season,SAC,,29,6,23,14.2,5.3,0.2,28.6,0.4,40.0,0.4,85.7,3.3,68.3,0.1,50.0,1.2,51.7,63.0,0,0
2015-16,Pre+Season,CHA,,6,1,5,10.7,0.8,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0,0
2015-16,Pre+Season,LAL,,4,2,2,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100,0.0,0.0,0.0,0.0,33.3,0,0
2015-16,Pre+Season,MIA,,36,19,17,17.0,6.4,2.4,50.8,1.8,32.8,0.8,45.8,0.6,66.7,0.0,0.0,0.4,66.7,50.3,0,0
2015-16,Pre+Season,DET,,35,26,9,29.0,11.6,1.2,47.2,6.4,39.9,2.1,37.7,0.3,100,0.0,0.0,0.2,60.0,58.7,0,0
2015-16,Pre+Season,POR,,28,13,15,7.5,2.8,0.3,42.9,2.1,45.5,0.0,0.0,0.3,50.0,0.1,50.0,0.2,60.0,62.3,0,0
2015-16,Pre+Season,DAL,,25,8,17,11.8,2.6,0.1,100,0.1,100,0.0,0.0,1.4,52.4,0.0,0.0,0.6,66.7,61.3,0,0
2015-16,Pre+Season,SAC,,11,3,8,17.6,4.1,0.0,0.0,0.0,0.0,0.2,100,3.4,62.5,0.0,0.0,0.4,33.3,54.8,0,0
2015-16,Pre+Season,SAS,,28,21,7,21.5,10.8,5.0,48.4,1.9,30.5,1.0,27.7,0.3,37.5,0.0,0.0,0.1,25.0,46.6,0,0
2015-16,Pre+Season,ATL,,39,19,20,34.3,11.9,4.0,45.3,0.6,15.0,0.9,50.0,3.5,66.0,0.0,0.0,1.3,75.8,50.6,0,0
2015-16,Pre+Season,BKN,,8,1,7,4.4,1.8,0.3,50.0,0.8,28.6,0.0,0.0,0.6,100,0.0,0.0,0.1,0.0,50.0,0,0
