SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2016-17,pre-season,-,10/18/2016,L,48,18,24,9,36,18,18,12,58,0
2016-17,pre-season,-,10/17/2016,W,48,24,2,11,56,10,3,7,30,0
2016-17,pre-season,-,10/17/2016,W,48,30,15,14,46,30,4,27,40,0
2016-17,pre-season,-,10/17/2016,W,53,22,18,19,34,12,18,13,42,0
2016-17,pre-season,-,10/17/2016,W,48,20,8,21,42,14,6,5,46,0
2016-17,regular-season,-,04/12/2017,W,48,15,15,7,50,11,10,3,28,0
2016-17,regular-season,-,04/12/2017,W,48,25,10,3,46,3,3,0,30,0
2016-17,regular-season,-,04/12/2017,W,48,16,19,26,48,2,10,5,34,0
2016-17,regular-season,-,04/12/2017,W,48,20,14,4,44,11,13,7,34,0
2016-17,regular-season,-,04/12/2017,W,48,28,16,5,40,15,10,11,38,0
2016-17,regular-season,-,04/12/2017,W,48,33,13,17,44,10,16,9,40,0
2016-17,regular-season,-,04/12/2017,W,48,15,9,5,32,12,16,11,40,0
2016-17,regular-season,-,04/12/2017,W,48,11,20,6,60,18,11,7,46,0
2016-17,regular-season,-,04/12/2017,W,48,20,15,17,46,10,10,8,48,0
2016-17,regular-season,-,04/12/2017,W,48,12,7,13,42,16,28,18,48,0
2016-17,regular-season,-,04/12/2017,W,48,13,12,14,56,19,13,6,56,0
2016-17,regular-season,-,04/12/2017,W,48,23,28,15,52,15,15,13,60,0
2016-17,regular-season,-,04/12/2017,W,48,19,23,23,42,27,11,32,62,0
2016-17,regular-season,-,04/12/2017,W,48,17,23,11,40,29,21,11,72,0
2016-17,regular-season,-,04/12/2017,L,48,12,16,11,40,15,9,5,32,0
2016-17,regular-season,-,04/12/2017,L,48,15,10,11,38,28,16,5,40,0
2016-17,regular-season,-,04/12/2017,L,48,29,21,11,72,17,23,11,40,0
2016-17,regular-season,-,04/12/2017,L,48,16,28,18,48,12,7,13,42,0
2016-17,regular-season,-,04/12/2017,L,48,27,11,32,62,19,23,23,42,0
2016-17,regular-season,-,04/12/2017,L,48,11,13,7,34,20,14,4,44,0
2016-17,regular-season,-,04/12/2017,L,48,10,16,9,40,33,13,17,44,0
2016-17,regular-season,-,04/12/2017,L,48,3,3,0,30,25,10,3,46,0
2016-17,regular-season,-,04/12/2017,L,48,10,10,8,48,20,15,17,46,0
2016-17,regular-season,-,04/12/2017,L,48,2,10,5,34,16,19,26,48,0
