SEASON,SEASON_TYPE,TEAM_ID,TEAM_ABB,GAME_ID,MATCHUP,HOME_AWAY,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2015-16,pre-season,1610612753,ORL,0011500002,ORLvs.CHA,HOME,03/10/2015,L,240,100,39,89,43.8,6,26,23.1,16,19,84.2,12,33,45,22,11,3,13,30,-6
2015-16,pre-season,1610612754,IND,0011500003,INDvs.NOP,HOME,03/10/2015,L,240,105,38,92,41.3,10,35,28.6,19,31,61.3,18,44,62,21,10,16,20,27,-5
2015-16,pre-season,1610612766,CHA,0011500002,CHA@ORL,AWAY,03/10/2015,W,240,106,34,75,45.3,12,31,38.7,26,35,74.3,7,34,41,30,7,2,13,15,6
2015-16,pre-season,1610612743,DEN,0011500001,DEN@LAC,AWAY,02/10/2015,L,240,96,37,87,42.5,7,18,38.9,15,20,75.0,14,43,57,16,9,2,24,26,-7
2015-16,pre-season,1610612746,LAC,0011500001,LACvs.DEN,HOME,02/10/2015,W,240,103,37,91,40.7,9,32,28.1,20,26,76.9,9,30,39,22,12,6,14,15,7
2015-16,regular-season,1610612737,ATL,0021501221,ATL@WAS,AWAY,13/04/2016,L,240,98,32,81,39.5,11,30,36.7,23,31,74.2,9,38,47,22,13,5,23,21,-11
2015-16,regular-season,1610612738,BOS,0021501217,BOSvs.MIA,HOME,13/04/2016,W,240,98,37,86,43.0,5,14,35.7,19,22,86.4,10,29,39,20,7,3,7,20,10
2015-16,regular-season,1610612739,CLE,0021501220,CLEvs.DET,HOME,13/04/2016,L,265,110,46,97,47.4,7,18,38.9,11,15,73.3,8,35,43,21,4,7,10,23,-2
2015-16,regular-season,1610612740,NOP,0021501226,NOP@MIN,AWAY,13/04/2016,L,240,109,40,92,43.5,11,30,36.7,18,22,81.8,10,23,33,31,7,0,16,16,-35
2015-16,regular-season,1610612741,CHI,0021501222,CHIvs.PHI,HOME,13/04/2016,W,240,115,39,83,47.0,15,24,62.5,22,27,81.5,16,37,53,27,8,8,17,13,10
2015-16,regular-season,1610612742,DAL,0021501223,DALvs.SAS,HOME,13/04/2016,L,240,91,31,77,40.3,12,39,30.8,17,21,81.0,11,30,41,20,8,2,12,23,-5
2015-16,regular-season,1610612743,DEN,0021501230,DEN@POR,AWAY,13/04/2016,L,240,99,40,94,42.6,7,25,28.0,12,18,66.7,20,33,53,24,10,6,20,19,-8
2015-16,regular-season,1610612744,GSW,0021501227,GSWvs.MEM,HOME,13/04/2016,W,240,125,46,87,52.9,20,47,42.6,13,16,81.3,12,39,51,35,7,7,17,14,21
2015-16,regular-season,1610612745,HOU,0021501224,HOUvs.SAC,HOME,13/04/2016,W,240,116,47,97,48.5,10,35,28.6,12,19,63.2,14,41,55,33,11,7,14,15,35
2015-16,regular-season,1610612746,LAC,0021501229,LAC@PHX,AWAY,13/04/2016,L,240,105,43,96,44.8,9,31,29.0,10,12,83.3,6,34,40,23,9,6,15,20,-9
2015-16,regular-season,1610612747,LAL,0021501228,LALvs.UTA,HOME,13/04/2016,W,240,101,41,85,48.2,6,25,24.0,13,15,86.7,8,39,47,19,6,3,14,17,5
2015-16,regular-season,1610612748,MIA,0021501217,MIA@BOS,AWAY,13/04/2016,L,240,88,38,88,43.2,2,19,10.5,10,12,83.3,14,30,44,14,5,10,10,21,-10
2015-16,regular-season,1610612749,MIL,0021501225,MILvs.IND,HOME,13/04/2016,L,240,92,37,87,42.5,7,23,30.4,11,13,84.6,7,36,43,23,8,3,15,15,-5
2015-16,regular-season,1610612750,MIN,0021501226,MINvs.NOP,HOME,13/04/2016,W,240,144,56,86,65.1,13,28,46.4,19,23,82.6,5,38,43,41,14,8,13,20,35
2015-16,regular-season,1610612751,BKN,0021501218,BKNvs.TOR,HOME,13/04/2016,L,240,96,39,89,43.8,10,26,38.5,8,12,66.7,5,34,39,26,8,8,8,17,-7
2015-16,regular-season,1610612753,ORL,0021501219,ORL@CHA,AWAY,13/04/2016,L,240,103,42,91,46.2,8,27,29.6,11,18,61.1,5,34,39,22,7,4,10,18,-14
2015-16,regular-season,1610612754,IND,0021501225,IND@MIL,AWAY,13/04/2016,W,240,97,39,90,43.3,11,24,45.8,8,10,80.0,12,36,48,28,8,3,17,14,5
2015-16,regular-season,1610612755,PHI,0021501222,PHI@CHI,AWAY,13/04/2016,L,240,105,37,81,45.7,17,35,48.6,14,18,77.8,4,27,31,28,10,7,13,24,-10
2015-16,regular-season,1610612756,PHX,0021501229,PHXvs.LAC,HOME,13/04/2016,W,240,114,45,99,45.5,7,26,26.9,17,22,77.3,18,40,58,26,10,5,17,15,9
2015-16,regular-season,1610612757,POR,0021501230,PORvs.DEN,HOME,13/04/2016,W,240,107,39,89,43.8,11,36,30.6,18,22,81.8,13,32,45,19,11,8,17,19,8
2015-16,regular-season,1610612758,SAC,0021501224,SAC@HOU,AWAY,13/04/2016,L,240,81,32,96,33.3,11,37,29.7,6,13,46.2,15,34,49,21,11,4,20,17,-35
2015-16,regular-season,1610612759,SAS,0021501223,SAS@DAL,AWAY,13/04/2016,W,240,96,35,74,47.3,6,23,26.1,20,26,76.9,8,34,42,24,8,3,15,19,5
2015-16,regular-season,1610612761,TOR,0021501218,TOR@BKN,AWAY,13/04/2016,W,240,103,41,93,44.1,13,37,35.1,8,15,53.3,16,41,57,24,5,10,9,12,7
2015-16,regular-season,1610612762,UTA,0021501228,UTA@LAL,AWAY,13/04/2016,L,240,96,39,83,47.0,9,30,30.0,9,15,60.0,8,30,38,27,10,1,14,16,-5
2015-16,regular-season,1610612763,MEM,0021501227,MEM@GSW,AWAY,13/04/2016,L,240,104,42,98,42.9,8,24,33.3,12,16,75.0,13,27,40,25,12,1,13,18,-21
2015-16,regular-season,1610612764,WAS,0021501221,WASvs.ATL,HOME,13/04/2016,W,240,109,42,88,47.7,9,28,32.1,16,30,53.3,11,40,51,25,14,4,19,22,11
2015-16,regular-season,1610612765,DET,0021501220,DET@CLE,AWAY,13/04/2016,W,265,112,37,85,43.5,16,33,48.5,22,28,78.6,9,38,47,24,5,11,12,15,2
2015-16,regular-season,1610612766,CHA,0021501219,CHAvs.ORL,HOME,13/04/2016,W,240,117,47,86,54.7,11,29,37.9,12,19,63.2,5,41,46,32,6,5,10,14,14
2015-16,regular-season,1610612746,LAC,0021501216,LACvs.MEM,HOME,12/04/2016,W,240,110,41,75,54.7,12,25,48.0,16,21,76.2,8,33,41,29,11,7,11,19,26
2015-16,regular-season,1610612748,MIA,0021501213,MIA@DET,AWAY,12/04/2016,W,240,99,38,78,48.7,7,20,35.0,16,22,72.7,8,31,39,15,7,5,15,21,6
2015-16,regular-season,1610612752,NYK,0021501212,NYK@IND,AWAY,12/04/2016,L,240,90,36,80,45.0,10,27,37.0,8,9,88.9,8,29,37,27,6,8,16,17,-12
