SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2016-17,Pre+Season,ATL,Atlanta Hawks,7,9.0,8.0,0.35,3.0,0.7,2.6,28.0,27.8,13.3,60.0,6.7,3.3,18.3,9.4
2016-17,Pre+Season,MIL,Milwaukee Bucks,6,7.0,6.8,0.47,3.3,0.8,1.3,62.0,75.0,14.0,67.4,2.3,0.0,23.3,46.9
2016-17,Pre+Season,CLE,Cleveland Cavaliers,6,8.0,7.3,0.43,3.3,0.8,2.2,38.0,38.5,14.9,57.4,0.0,0.0,25.5,28.1
2016-17,Pre+Season,BOS,Boston Celtics,7,9.0,7.6,0.32,2.7,0.1,1.1,12.0,12.5,18.3,68.3,1.7,0.0,18.3,6.3
2016-17,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,12.0,9.9,1.17,14.0,1.0,1.0,100,150.0,58.3,33.3,0.0,0.0,66.7,100
2016-17,Pre+Season,OKC,Oklahoma City Thunder,6,6.0,5.3,0.39,2.3,0.5,1.3,38.0,43.8,13.9,63.9,2.8,0.0,22.2,16.1
2016-17,Pre+Season,CHI,Chicago Bulls,7,8.0,6.8,0.22,1.7,0.3,1.3,22.0,22.2,11.1,74.1,1.9,1.9,13.0,0.0
2016-17,Pre+Season,NYK,New York Knicks,6,7.0,5.9,0.27,1.8,0.2,1.0,17.0,25.0,17.1,68.3,0.0,0.0,14.6,3.1
2016-17,Pre+Season,Shanghai Shanghai Sharks,Shanghai Shanghai Sharks,1,13.0,11.3,0.77,10.0,4.0,5.0,80.0,90.0,15.4,53.8,7.7,7.7,38.5,93.8
2016-17,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,14.0,12.4,0.50,7.0,2.0,7.0,29.0,28.6,14.3,35.7,0.0,0.0,28.6,59.4
2016-17,Pre+Season,Buenos Aires San Lorenzo,Buenos Aires San Lorenzo,1,5.0,5.0,0.60,3.0,0.0,1.0,0.0,0.0,40.0,40.0,20.0,0.0,40.0,0.0
2016-17,Pre+Season,Barcelona FC Barcelona Lassa,Barcelona FC Barcelona Lassa,1,6.0,5.9,0.00,0.0,0.0,1.0,0.0,0.0,0.0,83.3,0.0,0.0,0.0,0.0
2016-17,Regular+Season,ATL,Atlanta Hawks,82,7.1,6.4,0.59,4.1,0.6,1.6,39.7,43.1,24.8,52.9,2.8,0.3,32.4,89.7
2016-17,Regular+Season,BOS,Boston Celtics,82,6.9,6.5,0.59,4.1,0.5,1.6,31.1,33.7,27.2,49.4,2.5,0.4,33.6,93.1
2016-17,Regular+Season,LAC,LA Clippers,82,6.7,6.2,0.61,4.1,0.5,1.4,33.3,39.0,33.5,46.0,2.0,0.4,36.3,96.6
2016-17,Regular+Season,GSW,Golden State Warriors,82,7.8,7.0,0.52,4.0,0.8,2.2,37.7,43.2,18.1,53.8,2.2,0.6,26.7,41.4
