SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,regular-season,SAC,43,18,25,3.5,2.5,6.0,42.2,0.8,2.3,33.3,2.7,3.4,80.1,0.9,2.5,3.4,1.2,1.0,0.7,0.2,0.3,2.3,2.5,8.5,1.1
2015-16,regular-season,WAS,34,16,18,3.8,2.8,6.5,43.2,0.8,2.2,35.1,2.6,3.4,77.6,1.0,2.9,3.8,1.6,1.3,0.4,0.2,0.3,2.1,2.4,9.0,0.0
2015-16,regular-season,BKN,41,15,26,3.4,2.7,5.7,46.4,0.6,1.8,30.7,2.0,2.9,71.8,0.7,2.3,3.0,1.4,0.8,0.6,0.3,0.3,1.7,2.1,7.9,0.8
2015-16,regular-season,NYK,41,15,26,4.0,3.0,6.9,44.1,0.6,2.0,31.0,3.0,4.0,73.3,0.8,2.7,3.5,1.3,0.7,0.4,0.4,0.6,2.0,2.7,9.6,1.0
2015-16,regular-season,UTA,42,14,28,4.9,4.0,8.2,48.0,0.9,2.3,39.8,3.5,4.4,79.8,1.1,3.1,4.2,1.7,1.1,0.6,0.5,0.6,2.2,3.0,12.3,2.2
2015-16,regular-season,PHX,39,12,27,3.2,2.6,5.3,49.5,0.7,1.6,45.3,2.8,3.6,77.9,0.8,2.1,2.9,1.4,1.0,0.6,0.4,0.3,1.5,2.4,8.8,2.5
2015-16,regular-season,LAL,33,11,22,3.5,2.8,5.9,46.9,0.5,1.8,27.1,2.8,3.3,82.7,0.8,2.2,2.9,1.7,0.7,0.3,0.2,0.3,2.0,2.2,8.8,0.7
2015-16,regular-season,PHI,35,5,30,3.8,2.8,6.1,46.2,0.7,1.8,35.9,3.5,4.3,81.9,0.8,3.0,3.8,1.4,0.8,0.8,0.4,0.3,1.6,3.0,9.7,3.6
2015-16,playoffs,CLE,8,7,1,3.7,1.6,4.6,35.1,0.1,1.6,7.7,1.1,1.6,69.2,0.4,2.0,2.4,0.9,0.4,0.8,0.5,0.5,1.1,1.4,4.5,-2.3
2015-16,playoffs,GSW,9,6,3,4.0,1.8,6.1,29.1,0.6,1.3,41.7,2.2,3.1,71.4,0.9,2.6,3.4,0.7,1.2,0.2,0.6,0.8,1.4,2.6,6.3,-3.2
2015-16,playoffs,TOR,9,6,3,5.1,2.9,7.1,40.6,0.6,2.2,25.0,2.6,3.4,74.2,0.7,3.7,4.3,0.9,1.3,0.6,0.7,0.2,3.2,2.7,8.9,-1.3
2015-16,playoffs,OKC,10,5,5,3.2,2.4,5.7,42.1,0.4,1.7,23.5,2.3,3.0,76.7,0.6,1.7,2.3,0.8,0.3,1.1,0.3,0.7,1.6,1.9,7.5,1.9
2015-16,playoffs,MIA,8,3,5,5.5,3.5,9.0,38.9,0.8,1.9,40.0,3.0,4.1,72.7,1.3,3.4,4.6,1.0,1.4,0.6,0.4,0.9,2.9,2.8,10.8,0.3
2015-16,playoffs,BOS,3,2,1,5.9,2.7,10.0,26.7,1.0,4.0,25.0,3.0,4.0,75.0,1.0,6.0,7.0,1.7,2.0,1.3,1.0,1.3,2.7,3.7,9.3,-2.3
2015-16,playoffs,CHA,3,2,1,3.7,2.3,5.7,41.2,0.7,2.3,28.6,1.3,1.7,80.0,1.0,2.7,3.7,0.3,1.0,0.0,0.7,0.7,1.0,1.3,6.7,-0.3
2015-16,playoffs,POR,5,2,3,5.0,4.4,9.2,47.8,1.8,4.0,45.0,2.0,3.0,66.7,1.4,3.6,5.0,2.4,1.2,0.6,0.8,0.2,3.4,2.4,12.6,2.4
2015-16,playoffs,SAS,5,2,3,3.6,2.8,5.4,51.9,0.2,1.2,16.7,1.8,2.0,90.0,0.8,2.6,3.4,1.2,1.6,0.2,0.6,0.2,2.4,2.0,7.6,-1.2
2015-16,playoffs,ATL,6,1,5,4.4,3.2,8.2,38.8,1.2,3.2,36.8,1.7,2.5,66.7,1.3,3.7,5.0,1.8,1.5,0.8,1.0,0.7,2.0,1.7,9.2,2.5
2015-16,playoffs,DAL,2,1,1,2.8,1.5,7.0,21.4,0.5,3.0,16.7,0.5,0.5,100,3.0,2.0,5.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,4.0,-1.0
