SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,MIN,BOX_OUTS,OFF_BOXOUTS,DEF_BOXOUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF
2019-20,Pre+Season,SESI/Franca Basketball Club of Brazil,SESI/Franca Basketball Club of Brazil,47.8,21.0,1.0,20.0,4.8,95.2
2019-20,Pre+Season,SAC,Sacramento Kings,37.7,14.5,1.1,13.4,7.8,92.2
2019-20,Pre+Season,SAS,San Antonio Spurs,40.5,11.5,1.3,10.2,11.6,88.4
2019-20,Pre+Season,Shanghai Sharks,Shanghai Sharks,47.7,14.0,1.0,13.0,7.1,92.9
2019-20,Pre+Season,TOR,Toronto Raptors,40.4,19.0,1.4,17.6,7.5,92.5
2019-20,Pre+Season,UTA,Utah Jazz,47.1,21.7,1.9,19.9,8.6,91.4
2019-20,Pre+Season,WAS,Washington Wizards,43.0,17.0,1.8,15.3,10.3,89.7
2019-20,Regular+Season,ATL,Atlanta Hawks,48.5,15.7,2.2,13.5,14.0,86.0
2019-20,Regular+Season,BOS,Boston Celtics,48.1,18.0,2.4,15.7,13.0,86.8
2019-20,Regular+Season,BKN,Brooklyn Nets,48.4,16.6,1.2,15.4,7.3,92.7
2019-20,Regular+Season,CHA,Charlotte Hornets,48.3,14.5,1.6,12.9,10.7,89.3
2019-20,Regular+Season,CHI,Chicago Bulls,48.1,14.7,1.9,12.9,12.6,87.4
2019-20,Regular+Season,CLE,Cleveland Cavaliers,48.0,16.6,2.5,14.1,14.9,85.1
2019-20,Regular+Season,DAL,Dallas Mavericks,48.1,14.5,0.9,13.6,6.4,93.6
2019-20,Regular+Season,DEN,Denver Nuggets,48.4,12.4,1.8,10.6,14.5,85.5
2019-20,Regular+Season,DET,Detroit Pistons,48.1,12.7,1.4,11.3,11.4,88.6
2019-20,Regular+Season,GSW,Golden State Warriors,48.2,15.4,0.9,14.5,5.6,94.4
2019-20,Regular+Season,HOU,Houston Rockets,48.1,16.9,1.1,15.8,6.5,93.4
2019-20,Regular+Season,IND,Indiana Pacers,48.1,13.7,1.4,12.4,9.9,90.1
2019-20,Regular+Season,LAC,LA Clippers,47.9,18.4,1.8,16.6,9.8,90.2
2019-20,Regular+Season,LAL,Los Angeles Lakers,47.9,15.9,2.6,13.2,16.7,83.3
