SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2015-16,Regular+Season,CHI,,29,15,14,21.9,1.5,0.2,0.7,28.6,0.0,0.1,50.0,0.4,30.2,0.4,27.9,0.2,11.6,0.1,9.3,0.0,2.3,0,0
2015-16,Regular+Season,DET,,3,3,0,14.5,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,50.0,0.3,25.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,CLE,,5,5,0,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,UTA,,81,40,41,15.3,2.1,0.2,0.4,51.7,0.0,0.0,100,0.4,19.1,1.2,57.8,0.2,11.6,0.2,9.8,0.0,1.2,0,0
2015-16,Regular+Season,MIA,,81,31,50,33.4,5.8,1.1,2.4,46.2,0.4,0.5,81.8,2.7,46.0,2.0,34.7,0.7,11.5,0.4,7.0,0.3,4.7,0,0
2015-16,Regular+Season,IND,,41,19,22,9.4,3.1,0.3,0.8,35.3,0.2,0.3,83.3,0.9,27.8,1.2,40.5,0.6,19.8,0.2,5.6,0.1,4.8,0,0
2015-16,Regular+Season,DET,,19,12,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,DEN,,59,24,35,17.6,0.9,0.1,0.5,26.7,0.1,0.1,75.0,0.3,37.3,0.2,17.6,0.0,3.9,0.1,11.8,0.0,3.9,0,0
2015-16,Regular+Season,MIL,,57,22,35,16.8,0.6,0.1,0.3,43.8,0.1,0.2,66.7,0.4,68.8,0.2,28.1,0.0,0.0,0.0,3.1,0.1,18.8,0,0
2015-16,Regular+Season,PHX,,43,18,25,11.2,1.1,0.2,0.5,43.5,0.2,0.2,87.5,0.7,60.4,0.3,31.3,0.0,4.2,0.1,8.3,0.1,8.3,0,0
2015-16,Regular+Season,WAS,,77,37,40,36.2,12.5,1.6,3.5,45.1,0.9,1.3,73.5,4.3,34.3,5.3,42.2,1.8,14.3,1.0,7.9,0.6,5.1,0,0
2015-16,Regular+Season,MIL,,66,27,39,13.0,0.7,0.0,0.2,18.8,0.0,0.0,0.0,0.1,15.2,0.3,41.3,0.1,10.9,0.1,13.0,0.0,0.0,0,0
2015-16,Regular+Season,PHX,,67,22,45,18.7,2.2,0.6,1.2,47.5,0.2,0.3,75.0,1.4,62.0,0.5,21.3,0.1,6.0,0.2,8.7,0.1,6.7,0,0
2015-16,Regular+Season,BOS,,77,46,31,15.1,1.0,0.2,0.5,42.5,0.1,0.2,75.0,0.6,57.9,0.3,27.6,0.0,1.3,0.1,7.9,0.1,7.9,0,0
2015-16,Regular+Season,TOR,,59,39,20,25.9,0.3,0.1,0.2,54.5,0.1,0.1,87.5,0.4,115.8,0.1,15.8,0.0,0.0,0.0,5.3,0.1,21.1,0,0
2015-16,Regular+Season,SAS,,55,47,8,14.8,4.0,0.8,1.8,42.9,0.6,0.7,88.9,2.2,54.1,1.2,29.1,0.3,7.7,0.3,7.7,0.3,8.2,0,0
2015-16,Regular+Season,MEM,,2,0,2,7.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,LAL,,79,17,62,32.3,8.2,1.9,4.5,42.9,0.8,1.1,75.0,4.7,57.6,1.9,23.1,0.6,7.7,0.5,6.3,0.5,6.5,0,0
2015-16,Regular+Season,MEM,,12,2,10,24.3,5.7,0.8,2.3,33.3,0.2,0.2,100,1.7,29.4,2.4,42.6,0.4,7.4,0.5,8.8,0.1,1.5,0,0
2015-16,Regular+Season,NOP,,11,4,7,27.6,7.5,1.2,2.6,44.8,0.4,0.7,50.0,2.8,37.8,2.9,39.0,1.0,13.4,0.4,4.9,0.4,4.9,0,0
2015-16,Regular+Season,IND,,73,40,33,20.7,0.3,0.1,0.2,35.7,0.1,0.1,66.7,0.2,66.7,0.0,9.5,0.0,0.0,0.0,4.8,0.0,14.3,0,0
2015-16,Regular+Season,CLE,,22,10,12,8.9,2.5,0.4,1.0,42.9,0.5,0.5,83.3,1.3,53.7,0.8,31.5,0.2,7.4,0.2,9.3,0.3,11.1,0,0
2015-16,Regular+Season,BOS,,16,9,7,3.6,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,CHA,,12,9,3,5.3,1.3,0.3,0.3,100,0.5,0.5,100,1.3,100,0.5,40.0,0.0,0.0,0.1,6.7,0.3,20.0,0,0
2015-16,Regular+Season,NYK,,72,29,43,28.1,3.6,0.4,0.7,57.4,0.1,0.1,83.3,0.9,23.8,2.0,56.3,0.6,16.5,0.2,5.7,0.0,1.1,0,0
2015-16,Regular+Season,OKC,,5,2,3,11.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0,0
