SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2015-16,regular-season,-,48,34,241.8,102.8,442.7,265.4,20.0,2.72,2.01,0.232,15.7,11.6,25.9,0.380,0.475,0.723,0
2015-16,regular-season,-,47,34,241.2,105.6,439.4,251.5,19.7,2.69,1.99,0.240,13.0,9.3,25.8,0.505,0.489,0.803,0
2015-16,regular-season,-,21,61,240.9,98.6,409.9,231.4,20.9,3.07,2.40,0.241,19.5,18.4,24.9,0.540,0.516,0.791,0
2015-16,regular-season,-,48,34,242.1,103.4,414.1,233.9,21.0,3.04,2.43,0.250,13.0,12.4,19.8,0.455,0.489,0.801,0
2015-16,regular-season,-,42,40,242.7,101.6,428.5,243.6,20.8,2.91,2.09,0.237,13.9,17.0,25.6,0.471,0.422,0.751,0
2015-16,regular-season,-,57,25,242.1,104.3,414.8,229.2,21.6,3.13,2.34,0.252,12.8,12.5,25.1,0.431,0.562,0.750,0
2015-16,regular-season,-,42,40,244.0,102.3,449.6,254.0,21.7,2.90,2.17,0.228,17.7,13.3,21.7,0.350,0.539,0.769,0
2015-16,regular-season,-,33,49,241.8,101.9,411.1,228.8,21.2,3.10,2.37,0.248,14.9,11.4,28.9,0.523,0.533,0.834,0
2015-16,regular-season,-,44,38,242.4,102.0,384.2,199.8,21.0,3.28,2.61,0.265,12.8,13.3,27.3,0.371,0.556,0.804,0
2015-16,regular-season,-,73,9,242.4,114.9,446.4,259.2,19.4,2.60,1.86,0.257,15.2,16.6,27.6,0.469,0.342,0.795,0
2015-16,regular-season,-,41,41,241.8,106.5,409.4,219.8,20.0,2.93,2.10,0.260,12.8,10.1,27.6,0.476,0.462,0.775,0
2015-16,regular-season,-,45,37,242.4,102.2,425.4,238.5,21.1,2.98,2.10,0.240,17.0,13.1,25.8,0.464,0.422,0.789,0
2015-16,regular-season,-,53,29,241.8,104.5,405.6,216.6,21.0,3.11,2.37,0.258,13.9,8.6,22.5,0.466,0.368,0.832,0
2015-16,regular-season,-,17,65,240.6,97.3,392.7,211.5,21.4,3.27,2.29,0.248,14.3,12.3,23.4,0.426,0.450,0.711,0
2015-16,regular-season,-,42,40,241.8,99.1,425.0,246.0,21.7,3.07,2.24,0.233,20.0,24.9,26.7,0.354,0.483,0.775,0
2015-16,regular-season,-,48,34,241.8,100.0,415.2,234.5,21.7,3.14,2.44,0.241,17.4,13.0,26.6,0.445,0.523,0.862,0
2015-16,regular-season,-,33,49,241.8,99.0,407.7,225.3,20.7,3.05,2.14,0.243,19.3,16.8,29.4,0.347,0.494,0.825,0
2015-16,regular-season,-,29,53,242.4,102.4,400.9,217.4,21.1,3.16,2.36,0.255,19.8,15.4,26.5,0.467,0.621,0.895,0
2015-16,regular-season,-,30,52,241.2,102.7,412.5,225.0,20.4,2.97,2.31,0.249,13.9,11.2,21.2,0.488,0.545,0.815,0
2015-16,regular-season,-,32,50,241.5,98.4,458.0,281.7,21.0,2.75,1.84,0.215,24.4,27.7,26.0,0.380,0.477,0.778,0
2015-16,regular-season,-,55,27,241.8,110.2,380.6,199.7,20.6,3.25,2.51,0.290,15.2,9.2,29.3,0.524,0.607,0.778,0
2015-16,regular-season,-,35,46,242.5,102.0,425.1,243.2,20.8,2.94,2.25,0.240,11.9,14.2,23.1,0.487,0.499,0.834,0
2015-16,regular-season,-,10,72,241.5,97.4,450.4,260.8,21.4,2.85,2.29,0.216,15.5,12.5,22.7,0.425,0.471,0.834,0
2015-16,regular-season,-,23,59,240.3,100.9,435.4,242.8,20.5,2.83,2.09,0.232,15.8,14.2,26.8,0.378,0.459,0.771,0
2015-16,regular-season,-,44,38,241.5,105.1,401.8,216.5,21.7,3.24,2.53,0.262,16.4,5.5,22.9,0.423,0.390,0.714,0
2015-16,regular-season,-,33,48,241.5,106.7,406.5,215.5,20.3,3.00,2.29,0.263,13.5,12.9,28.4,0.611,0.477,0.822,0
2015-16,regular-season,-,67,15,240.3,103.5,444.1,268.2,21.3,2.88,2.21,0.233,17.6,22.4,26.1,0.313,0.573,0.834,0
2015-16,regular-season,-,55,26,240.9,102.7,420.9,242.9,22.2,3.16,2.53,0.244,9.4,8.3,21.4,0.481,0.530,0.768,0
2015-16,regular-season,-,40,42,243.4,97.7,468.5,294.8,22.2,2.85,2.07,0.209,23.1,7.7,24.0,0.338,0.415,0.713,0
2015-16,regular-season,-,41,41,240.9,104.1,414.8,223.7,19.8,2.87,2.09,0.251,14.9,10.5,25.1,0.492,0.480,0.797,0
2015-16,playoffs,-,4,6,242.5,100.1,439.2,257.9,20.2,2.76,1.96,0.228,12.8,14.2,22.4,0.383,0.549,0.817,0
2015-16,playoffs,-,2,4,244.2,93.8,456.7,255.7,21.6,2.84,2.15,0.205,12.2,8.7,22.8,0.315,0.288,0.730,0
