SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2019-20,Regular+Season,CLE,Cleveland Cavaliers,65,19,46,.292,48.4,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,-7.9
2019-20,Regular+Season,GSW,Golden State Warriors,65,15,50,.231,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10.0,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,-8.7
2019-20,Playoffs,LAL,Los Angeles Lakers,21,16,5,.762,48.0,112.8,41.0,84.0,48.9,12.1,34.2,35.4,18.6,24.6,75.8,10.6,33.5,44.1,25.6,15.4,8.0,5.3,3.1,22.7,22.4,6.9
2019-20,Playoffs,MIA,Miami Heat,21,14,7,.667,48.5,110.0,37.7,82.0,46.0,12.8,35.5,35.9,21.8,26.4,82.5,7.8,33.6,41.3,24.9,13.2,6.9,3.9,4.5,19.9,22.6,2.0
2019-20,Playoffs,TOR,Toronto Raptors,11,7,4,.636,48.9,109.4,39.1,88.5,44.2,14.6,40.3,36.3,16.5,21.3,77.8,8.2,36.5,44.6,24.8,13.1,7.1,5.5,5.0,22.5,20.3,4.1
2019-20,Playoffs,BOS,Boston Celtics,17,10,7,.588,48.9,109.4,38.6,84.9,45.4,12.4,36.4,34.1,19.8,24.2,81.6,8.8,36.5,45.2,22.6,13.9,6.7,4.8,4.8,22.3,22.0,5.0
2019-20,Playoffs,LAC,LA Clippers,13,7,6,.538,48.4,114.0,40.9,86.4,47.4,12.1,32.8,36.8,20.1,25.2,79.8,9.5,34.5,44.0,21.2,13.0,7.5,3.7,4.1,22.9,22.3,4.2
2019-20,Playoffs,MIL,Milwaukee Bucks,10,5,5,.500,48.5,111.1,40.1,87.1,46.0,13.3,37.1,35.8,17.6,24.3,72.4,9.4,37.3,46.7,24.3,14.9,7.2,4.2,3.6,21.7,21.2,1.2
2019-20,Playoffs,DEN,Denver Nuggets,19,9,10,.474,48.3,107.4,38.8,82.5,47.1,12.3,32.4,37.9,17.5,21.4,81.6,9.3,31.4,40.6,22.5,13.9,6.2,4.0,4.0,22.4,22.1,-2.3
2019-20,Playoffs,OKC,Oklahoma City Thunder,7,3,4,.429,48.7,104.0,36.7,85.4,43.0,12.0,36.6,32.8,18.6,24.0,77.4,9.0,40.9,49.9,17.9,17.0,5.3,4.0,3.9,17.1,23.0,-6.4
2019-20,Playoffs,UTA,Utah Jazz,7,3,4,.429,48.7,113.4,39.9,81.9,48.7,15.7,37.3,42.1,18.0,23.3,77.3,9.3,31.9,41.1,21.4,12.0,6.1,3.1,4.6,19.0,21.3,3.4
2019-20,Playoffs,HOU,Houston Rockets,12,5,7,.417,48.4,107.7,37.4,85.8,43.6,16.9,46.8,36.2,15.9,20.2,78.9,6.7,32.2,38.8,21.3,13.4,9.1,3.5,4.9,22.2,18.6,0.8
2019-20,Playoffs,DAL,Dallas Mavericks,6,2,4,.333,48.8,117.0,42.2,89.2,47.3,13.5,37.5,36.0,19.2,26.5,72.3,7.7,35.5,43.2,21.5,12.7,6.5,3.7,3.3,22.5,24.5,-9.7
2019-20,Playoffs,ORL,Orlando Magic,5,1,4,.200,48.0,107.0,37.2,88.6,42.0,15.0,39.8,37.7,17.6,21.0,83.8,6.6,36.4,43.0,23.8,14.6,6.8,3.2,3.8,21.0,20.6,-9.2
2019-20,Playoffs,POR,Portland Trail Blazers,5,1,4,.200,48.0,106.6,37.6,88.2,42.6,11.6,30.6,37.9,19.8,25.0,79.2,9.8,33.0,42.8,17.8,16.0,7.4,3.6,5.8,25.0,22.8,-10.6
2019-20,Playoffs,BKN,Brooklyn Nets,4,0,4,.000,48.0,105.8,36.3,91.3,39.7,15.5,46.0,33.7,17.8,24.5,72.4,9.3,35.0,44.3,25.8,14.5,5.0,4.5,5.5,21.3,22.5,-20.5
2019-20,Playoffs,IND,Indiana Pacers,4,0,4,.000,48.0,100.8,36.5,80.3,45.5,12.0,32.0,37.5,15.8,20.3,77.8,5.8,30.8,36.5,22.5,15.3,9.3,5.5,4.3,23.3,15.8,-10.5
2019-20,Playoffs,PHI,Philadelphia 76ers,4,0,4,.000,48.0,100.5,33.3,84.0,39.6,8.0,30.3,26.4,26.0,32.0,81.3,12.3,33.8,46.0,17.5,12.0,5.0,4.5,5.5,22.3,24.3,-11.8
2019-20,All+Star,Team LeBron,Team LeBron,1,1,0,1.000,48.0,157.0,61.0,122.0,50.0,24.0,70.0,34.3,11.0,20.0,55.0,13.0,36.0,49.0,39.0,18.0,14.0,9.0,5.0,17.0,18.0,2.0
2019-20,All+Star,Team Giannis,Team Giannis,1,0,1,.000,48.0,155.0,66.0,123.0,53.7,11.0,40.0,27.5,12.0,19.0,63.2,15.0,46.0,61.0,38.0,21.0,11.0,5.0,9.0,18.0,17.0,-2.0
2019-20,PlayIn,POR,Portland Trail Blazers,1,1,0,1.000,48.0,126.0,38.0,84.0,45.2,15.0,40.0,37.5,35.0,41.0,85.4,9.0,30.0,39.0,20.0,13.0,12.0,7.0,6.0,19.0,25.0,4.0
2019-20,PlayIn,MEM,Memphis Grizzlies,1,0,1,.000,48.0,122.0,45.0,92.0,48.9,14.0,25.0,56.0,18.0,22.0,81.8,12.0,37.0,49.0,30.0,18.0,5.0,6.0,7.0,25.0,19.0,-4.0
2019-20,IST,TOR,Toronto Raptors,1,1,0,1.000,53.0,130.0,42.0,103.0,40.8,14.0,40.0,35.0,32.0,38.0,84.2,16.0,41.0,57.0,23.0,17.0,7.0,3.0,9.0,24.0,34.0,8.0
2019-20,IST,NOP,New Orleans Pelicans,1,0,1,.000,53.0,122.0,43.0,102.0,42.2,19.0,45.0,42.2,17.0,20.0,85.0,16.0,37.0,53.0,30.0,19.0,4.0,9.0,3.0,34.0,24.0,-8.0
2020-21,Pre+Season,BKN,Brooklyn Nets,2,2,0,1.000,48.0,116.0,38.0,81.0,46.9,15.0,32.5,46.2,25.0,36.0,69.4,6.5,40.5,47.0,24.5,18.0,9.0,8.0,3.0,19.5,28.0,14.5
2020-21,Pre+Season,LAL,Los Angeles Lakers,4,4,0,1.000,48.0,111.0,39.0,82.0,47.6,12.8,25.5,50.0,20.3,28.8,70.4,6.8,36.0,42.8,22.0,15.8,9.0,2.8,4.8,20.0,27.3,9.3
2020-21,Pre+Season,NOP,New Orleans Pelicans,2,2,0,1.000,48.0,120.5,41.0,85.5,48.0,12.0,35.5,33.8,26.5,37.5,70.7,15.0,36.0,51.0,22.5,12.5,7.5,4.5,4.0,19.0,29.0,18.0
2020-21,Pre+Season,PHI,Philadelphia 76ers,2,2,0,1.000,48.0,110.5,40.0,80.0,50.0,9.0,30.0,30.0,21.5,31.5,68.3,9.5,35.5,45.0,23.0,21.5,7.5,5.0,4.0,27.5,27.5,7.5
2020-21,Pre+Season,UTA,Utah Jazz,3,3,0,1.000,48.0,118.3,39.3,82.7,47.6,17.7,44.0,40.2,22.0,27.7,79.5,7.7,38.7,46.3,25.7,15.7,6.7,2.7,2.3,21.0,25.7,17.7
2020-21,Pre+Season,CHI,Chicago Bulls,4,3,1,.750,48.0,109.3,41.0,92.3,44.4,11.8,37.0,31.8,15.5,22.8,68.1,12.5,45.0,57.5,24.8,18.5,6.5,5.3,6.3,18.5,20.8,3.8
2020-21,Pre+Season,HOU,Houston Rockets,4,3,1,.750,48.0,114.0,40.5,92.5,43.8,17.0,46.8,36.4,16.0,20.8,77.1,8.8,38.0,46.8,22.3,13.3,10.3,6.8,4.3,24.3,18.5,11.0
2020-21,Pre+Season,MEM,Memphis Grizzlies,4,3,1,.750,48.0,118.5,41.5,92.0,45.1,15.0,42.8,35.1,20.5,28.8,71.3,9.8,40.5,50.3,28.3,18.3,10.8,6.8,5.0,24.8,24.5,10.5
2020-21,Pre+Season,NYK,New York Knicks,4,3,1,.750,48.0,100.0,37.0,81.5,45.4,9.0,29.8,30.3,17.0,24.8,68.7,9.8,35.5,45.3,24.3,18.5,10.5,5.8,4.3,23.0,24.5,10.3
