SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,GP,G,FREQ,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT,PLUSMINUS
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Christian Braun,1631128,DEN,G,14,14,43.6,1.4,5.1,26.4,36.9,-10.5
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,OKC,C-F,35,34,37.3,1.6,5.1,31.1,36.6,-5.5
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,LeBron James,2544,LAL,F,21,20,49.1,1.8,5.1,34.3,36.8,-2.5
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Landry Shamet,1629013,NYK,G,14,14,54.5,2.2,5.1,43.1,36.2,6.8
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Andrew Nembhard,1629614,IND,G-F,31,30,42.2,1.9,5.1,37.7,36.7,1.1
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kris Dunn,1627739,LAC,G,39,39,52.4,1.8,5.1,35.5,37.6,-2.1
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Vince Williams Jr.,1631246,MEM,G,25,24,53.6,1.7,5.1,33.6,36.9,-3.3
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jeremiah Fears,1642847,NOP,G,42,40,43.6,2.0,5.1,38.6,37.3,1.3
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Immanuel Quickley,1630193,TOR,G,40,40,46.4,1.6,5.1,30.9,36.7,-5.8
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Maxime Raynaud,1642875,SAC,C,32,31,38.9,2.0,5.1,39.9,37.1,2.8
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,VJ Edgecombe,1642845,PHI,G,34,33,38.7,1.5,5.1,30.1,37.0,-6.9
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Zach Edey,1641744,MEM,C,11,11,42.1,2.5,5.1,48.2,37.4,10.8
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,ATL,F,38,38,39.2,1.7,5.1,32.6,35.5,-2.9
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Rui Hachimura,1629060,LAL,F,28,28,47.0,2.0,5.1,39.4,36.7,2.7
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Payton Pritchard,1630202,BOS,G,39,39,49.4,2.0,5.0,39.6,36.7,2.9
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Harrison Barnes,203084,SAS,F,40,39,51.1,1.8,5.0,36.3,36.7,-0.3
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Walker Kessler,1631117,UTA,C,5,5,32.5,1.2,5.0,24.0,36.9,-12.9
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Ryan Kalkbrenner,1641750,CHA,C,28,28,33.0,1.8,5.0,36.4,36.5,-0.1
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Hunter Dickinson,1630621,NOP,C,1,1,62.5,2.0,5.0,40.0,32.3,7.7
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Kon Knueppel,1642851,CHA,G-F,39,39,37.8,1.7,5.0,33.8,36.8,-2.9
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Tyler Herro,1629639,MIA,G,10,10,37.9,2.1,5.0,42.0,36.1,5.9
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Paul George,202331,PHI,F,21,21,46.0,1.9,5.0,38.5,36.8,1.7
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Tim Hardaway Jr.,203501,DEN,G-F,39,39,51.5,2.1,5.0,42.0,36.3,5.6
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Svi Mykhailiuk,1629004,UTA,G-F,35,35,52.4,1.9,4.9,37.6,37.5,0.1
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Kelly Oubre Jr.,1626162,PHI,F-G,16,16,42.2,1.5,4.9,30.4,36.7,-6.4
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Coby White,1629632,CHI,G,18,18,47.6,1.7,4.9,33.7,35.7,-2.0
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Jimmy Butler III,202710,GSW,F,36,36,49.2,1.8,4.9,36.5,36.7,-0.2
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Kristaps Porziņģis,204001,ATL,F-C,17,16,36.2,1.4,4.9,28.6,36.0,-7.5
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Kel'el Ware,1642276,MIA,C,40,37,37.5,1.5,4.9,29.9,36.0,-6.1
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Naji Marshall,1630230,DAL,F,40,40,45.7,1.6,4.9,31.5,36.9,-5.5
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Reed Sheppard,1642263,HOU,G,37,37,43.5,1.7,4.9,35.2,36.5,-1.4
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,MIN,G,33,33,46.6,1.6,4.9,33.3,36.7,-3.4
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Julian Champagnie,1630577,SAS,F,40,40,46.8,1.8,4.9,37.2,37.6,-0.3
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Myles Turner,1626167,MIL,C-F,39,38,33.2,1.8,4.9,36.8,36.2,0.7
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,De'Andre Hunter,1629631,CLE,F-G,36,36,49.6,2.1,4.9,42.9,37.3,5.5
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Amen Thompson,1641708,HOU,G-F,37,34,48.3,1.4,4.9,28.9,36.7,-7.8
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Royce O'Neale,1626220,PHX,F,40,38,44.6,1.8,4.8,37.1,37.1,0.1
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Mitchell Robinson,1629011,NYK,C-F,27,25,47.1,1.8,4.8,37.4,36.9,0.5
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,PHX,G,37,36,44.2,1.7,4.8,35.2,35.7,-0.5
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Sandro Mamukelashvili,1630572,TOR,F-C,40,40,45.1,2.0,4.8,40.9,36.7,4.3
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Nic Claxton,1629651,BKN,C,35,35,35.1,1.8,4.8,37.3,37.6,-0.3
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Wendell Carter Jr.,1628976,ORL,C-F,38,38,37.0,1.9,4.8,39.3,38.0,1.4
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Ausar Thompson,1641709,DET,G-F,34,34,48.1,1.7,4.8,34.8,37.0,-2.3
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jake LaRavia,1631222,LAL,F,38,37,39.7,1.8,4.8,37.4,37.7,-0.3
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Zaccharie Risacher,1642258,ATL,F,36,36,46.0,1.8,4.8,36.6,36.3,0.3
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Collin Gillespie,1631221,PHX,G,40,40,42.4,1.6,4.8,34.2,36.7,-2.5
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Dominick Barlow,1631230,PHI,F,28,27,38.7,1.9,4.8,39.1,35.7,3.4
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Duncan Robinson,1629130,DET,F,36,35,42.6,1.9,4.7,41.2,36.5,4.6
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Stephen Curry,201939,GSW,G,31,31,45.9,1.9,4.7,41.1,37.5,3.6
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Sion James,1642883,CHA,G,40,40,44.0,1.7,4.7,35.6,37.3,-1.6
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Giannis Antetokounmpo,203507,MIL,F,26,25,47.1,1.9,4.7,40.2,35.7,4.4
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Max Christie,1631108,DAL,G,38,38,40.6,1.6,4.7,33.7,36.9,-3.2
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Steven Adams,203500,HOU,C,30,29,39.9,1.3,4.7,28.6,35.2,-6.6
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Quentin Grimes,1629656,PHI,G,36,36,46.4,1.4,4.6,29.9,36.6,-6.7
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Lonzo Ball,1628366,CLE,G,27,26,51.7,1.6,4.6,34.4,38.0,-3.6
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Bub Carrington,1642267,WAS,G,38,38,49.6,1.8,4.6,39.8,37.4,2.4
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Jerami Grant,203924,POR,F,26,25,47.8,1.8,4.6,38.3,38.2,0.1
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Jonathan Kuminga,1630228,GSW,F,18,17,52.2,1.7,4.6,37.3,36.3,1.0
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aaron Wiggins,1630598,OKC,G,28,28,48.1,2.0,4.6,42.6,36.4,6.2
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Dennis Schröder,203471,SAC,G,31,31,46.0,1.6,4.6,34.3,37.6,-3.3
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Donte DiVincenzo,1628978,MIN,G,41,41,41.8,1.7,4.6,37.8,37.7,0.0
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Derrick Jones Jr.,1627884,LAC,F,17,16,51.0,1.1,4.6,24.4,39.0,-14.6
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Khris Middleton,203114,WAS,F,26,25,49.4,1.7,4.6,37.0,36.2,0.8
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Kevin Huerter,1628989,CHI,G-F,34,33,44.9,1.6,4.6,35.5,36.9,-1.4
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Al Horford,201143,GSW,C-F,22,22,44.1,1.8,4.5,39.0,37.9,1.1
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Ace Bailey,1642846,UTA,F,32,32,51.4,1.8,4.5,39.6,36.2,3.4
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Nikola Jović,1631107,MIA,F,27,27,39.7,1.2,4.5,26.4,36.0,-9.5
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Jalen Suggs,1630591,ORL,G,23,23,39.8,1.6,4.5,35.9,37.5,-1.6
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Neemias Queta,1629674,BOS,C,36,36,36.8,1.8,4.5,41.0,37.0,4.0
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Naz Reid,1629675,MIN,C-F,41,39,42.4,1.6,4.5,35.5,37.4,-1.9
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Bobby Portis,1626171,MIL,F,40,40,43.4,1.8,4.5,40.4,35.8,4.6
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Isaac Okoro,1630171,CHI,F-G,31,29,44.5,1.7,4.5,38.4,36.5,1.9
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Precious Achiuwa,1630173,SAC,F,32,31,44.1,1.3,4.4,28.2,37.6,-9.4
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Quinten Post,1642366,GSW,C,41,38,42.7,1.5,4.4,33.3,36.9,-3.5
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jarrett Allen,1628386,CLE,C,29,28,35.9,1.7,4.4,37.8,37.7,0.1
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Isaiah Collier,1642268,UTA,G,31,30,51.7,2.1,4.3,47.4,37.6,9.9
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Donovan Mitchell,1628378,CLE,G,37,37,49.1,1.8,4.3,42.2,36.7,5.6
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Ziaire Williams,1630533,BKN,F,29,28,44.7,1.4,4.3,33.3,37.8,-4.4
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Pelle Larsson,1641796,MIA,G,31,29,48.4,1.4,4.3,33.6,37.2,-3.7
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Trae Young,1629027,WAS,G,10,10,43.0,1.5,4.3,34.9,36.5,-1.7
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Marvin Bagley III,1628963,WAS,F,32,28,45.1,1.6,4.3,37.2,36.6,0.7
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Bruce Brown,1628971,DEN,G-F,40,40,44.2,1.3,4.3,31.0,36.5,-5.5
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,DeMar DeRozan,201942,SAC,G-F,40,40,41.1,1.7,4.3,39.8,37.1,2.7
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Kyle Kuzma,1628398,MIL,F,38,38,45.3,1.4,4.3,33.3,37.1,-3.8
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Vít Krejčí,1630249,ATL,G,38,37,40.4,1.7,4.3,40.7,36.5,4.2
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Saddiq Bey,1630180,NOP,G-F,35,35,49.2,1.4,4.2,34.0,36.9,-2.9
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Russell Westbrook,201566,SAC,G,40,39,43.8,1.4,4.2,33.3,36.5,-3.2
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Yves Missi,1642274,NOP,C,34,33,45.5,1.4,4.2,34.5,35.9,-1.4
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Bradley Beal,203078,LAC,G,6,6,67.6,1.7,4.2,40.0,38.0,2.0
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Collin Murray-Boyles,1642867,TOR,F,34,34,43.8,1.6,4.2,38.3,37.2,1.1
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Terance Mann,1629611,BKN,G-F,33,31,43.2,1.3,4.2,32.1,38.3,-6.2
