SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ
2023-24,ist,-,2,2,227.5,9.3,5.0,54.1,25.3,36.6,1.3,38.5,0
2023-24,ist,-,6,0,224.1,10.2,4.5,44.3,26.2,38.9,1.2,40.7,0
2023-24,ist,-,1,3,225.7,12.3,6.8,55.1,30.5,40.2,1.3,41.9,0
2023-24,ist,-,5,0,225.8,11.8,7.2,61.0,23.4,50.4,0.6,51.8,0
2023-24,ist,-,0,4,234.0,10.0,5.3,52.5,28.8,34.8,1.0,36.0,0
2023-24,ist,-,2,2,229.3,8.8,5.0,57.1,19.5,44.9,0.8,46.7,0
2023-24,ist,-,5,1,232.7,8.8,4.5,50.9,20.8,42.4,0.5,43.4,0
2023-24,ist,-,3,1,233.2,10.5,6.8,64.3,23.0,45.7,0.0,45.7,0
2023-24,ist,-,4,1,232.6,9.8,6.0,61.2,24.8,39.5,1.2,41.5,0
2023-24,ist,-,3,2,231.9,12.6,7.2,57.1,27.0,46.7,0.6,47.7,0
2023-24,ist,-,1,3,218.2,6.3,3.0,48.0,21.3,29.4,1.0,30.9,0
2023-24,ist,-,3,1,228.3,11.8,6.0,51.1,28.5,41.2,1.3,43.1,0
2023-24,ist,-,2,2,235.3,10.8,6.8,62.8,29.0,37.1,0.5,37.7,0
2023-24,ist,-,3,2,237.9,9.6,4.8,50.0,24.2,39.7,1.6,42.5,0
2023-24,ist,-,1,3,237.4,14.8,8.3,55.9,32.0,46.1,2.0,49.2,0
2023-24,ist,-,4,1,226.8,11.4,6.4,56.1,26.0,43.8,1.2,46.0,0
2023-24,ist,-,0,4,210.3,10.3,5.5,53.7,26.0,39.4,1.3,41.4,0
2023-24,ist,-,1,3,219.7,9.5,6.3,65.8,22.8,41.8,0.8,43.2,0
2023-24,ist,-,2,2,231.5,11.8,5.3,44.7,23.5,50.0,1.0,52.2,0
2023-24,ist,-,0,4,230.7,7.5,4.5,60.0,22.0,34.1,0.5,34.9,0
2024-25,regular-season,-,40,42,230.8,11.9,6.9,58.0,25.7,46.2,0.9,47.9,0
2024-25,regular-season,-,61,21,233.1,11.2,6.0,52.9,25.3,44.4,0.9,46.1,0
2024-25,regular-season,-,26,56,233.8,10.9,5.9,54.1,26.5,41.2,1.0,42.8,0
2024-25,regular-season,-,19,63,228.8,12.2,6.9,56.5,29.2,41.9,1.1,43.6,0
2024-25,regular-season,-,39,43,230.2,10.1,5.5,54.5,22.5,44.7,0.7,46.2,0
