SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2023-24,PlayIn,MIA,Miami Heat,2,1,1,240.0,393.0,7.0,3.0,4.0,75.0,1.5,2.0,75.0,8.0,114.3,2.0,28.6,0.5,25.0,0.0,0.0,1.0,14.3
2023-24,PlayIn,NOP,New Orleans Pelicans,2,1,1,240.0,410.0,13.0,3.0,4.5,66.7,0.5,1.0,50.0,6.5,50.0,7.0,53.8,1.5,21.4,0.0,0.0,0.5,3.8
2023-24,PlayIn,PHI,Philadelphia 76ers,1,1,0,240.0,490.0,7.0,0.0,0.0,0.0,2.0,2.0,100,2.0,28.6,6.0,85.7,0.0,0.0,0.0,0.0,1.0,14.3
2023-24,PlayIn,SAC,Sacramento Kings,2,1,1,240.0,397.5,12.0,2.0,4.5,44.4,1.0,2.0,50.0,5.0,41.7,6.0,50.0,1.5,25.0,0.5,4.2,1.0,8.3
2023-24,IST,ATL,Atlanta Hawks,4,1,3,240.0,397.5,6.0,1.8,3.8,46.7,0.5,0.5,100,4.3,70.8,1.8,29.2,0.5,28.6,0.3,4.2,0.3,4.2
2023-24,IST,BOS,Boston Celtics,5,3,2,240.0,390.8,8.6,2.6,3.6,72.2,1.2,1.6,75.0,6.4,74.4,3.8,44.2,1.4,36.8,0.4,4.7,0.8,9.3
2023-24,IST,BKN,Brooklyn Nets,4,3,1,240.0,397.3,6.8,1.5,2.5,60.0,1.0,2.0,50.0,4.3,63.0,2.8,40.7,0.0,0.0,0.3,3.7,1.0,14.8
2023-24,IST,CHA,Charlotte Hornets,4,1,3,240.0,402.3,8.0,2.0,3.0,66.7,0.0,0.0,0.0,4.3,53.1,4.5,56.3,1.0,22.2,0.5,6.3,0.0,0.0
2023-24,IST,CHI,Chicago Bulls,4,0,4,240.0,378.3,12.5,1.8,5.3,33.3,0.5,0.5,100,4.0,32.0,6.8,54.0,1.5,22.2,0.0,0.0,0.3,2.0
2023-24,IST,CLE,Cleveland Cavaliers,4,3,1,246.3,391.3,11.0,2.5,4.8,52.6,0.0,0.0,0.0,5.0,45.5,4.3,38.6,0.8,17.6,1.3,11.4,0.0,0.0
2023-24,IST,DAL,Dallas Mavericks,4,2,2,240.0,382.5,10.5,2.3,4.0,56.3,1.0,1.0,100,5.5,52.4,5.0,47.6,2.0,40.0,0.5,4.8,0.5,4.8
2023-24,IST,DEN,Denver Nuggets,4,2,2,240.0,416.3,15.0,5.0,7.8,64.5,0.5,0.5,100,10.5,70.0,5.8,38.3,1.8,30.4,1.0,6.7,0.3,1.7
2023-24,IST,DET,Detroit Pistons,4,0,4,240.0,401.5,11.3,4.5,5.3,85.7,0.8,1.0,75.0,9.8,86.7,4.8,42.2,1.3,26.3,0.5,4.4,0.5,4.4
2023-24,IST,GSW,Golden State Warriors,4,2,2,240.0,451.0,11.5,1.8,3.3,53.8,1.0,1.0,100,5.0,43.5,7.3,63.0,1.5,20.7,0.5,4.3,0.5,4.3
2023-24,IST,HOU,Houston Rockets,4,2,2,240.0,392.5,14.0,3.3,5.5,59.1,2.3,3.0,75.0,9.0,64.3,6.3,44.6,1.0,16.0,0.5,3.6,1.5,10.7
2023-24,IST,IND,Indiana Pacers,6,6,0,240.0,396.3,9.0,3.7,5.2,71.0,1.8,2.0,91.7,9.7,107.4,2.3,25.9,0.8,35.7,0.5,5.6,1.0,11.1
2023-24,IST,LAC,LA Clippers,4,1,3,240.0,358.5,11.5,2.8,3.8,73.3,1.3,1.5,83.3,7.3,63.0,5.8,50.0,1.5,26.1,0.8,6.5,0.8,6.5
2023-24,IST,LAL,Los Angeles Lakers,5,5,0,240.0,378.6,10.8,2.4,4.6,52.2,1.4,1.6,87.5,6.2,57.4,4.8,44.4,0.8,16.7,0.2,1.9,0.8,7.4
2023-24,IST,MEM,Memphis Grizzlies,4,0,4,246.2,416.5,11.5,2.3,4.8,47.4,0.8,1.0,75.0,5.5,47.8,5.8,50.0,1.5,26.1,0.3,2.2,0.5,4.3
2023-24,IST,MIA,Miami Heat,4,2,2,240.0,412.3,11.0,2.5,5.8,43.5,0.3,0.5,50.0,5.3,47.7,4.5,40.9,0.8,16.7,0.3,2.3,0.3,2.3
2023-24,IST,MIL,Milwaukee Bucks,6,5,1,240.0,384.3,10.7,3.8,5.7,67.6,0.2,0.3,50.0,8.0,75.0,3.8,35.9,1.0,26.1,0.2,1.6,0.2,1.6
2023-24,IST,MIN,Minnesota Timberwolves,4,3,1,240.0,411.0,8.0,1.8,3.0,58.3,0.3,0.5,50.0,4.3,53.1,3.8,46.9,0.8,20.0,0.5,6.3,0.3,3.1
2023-24,IST,NOP,New Orleans Pelicans,5,4,1,240.0,416.6,10.2,3.4,4.6,73.9,0.8,0.8,100,7.6,74.5,4.4,43.1,1.2,27.3,0.8,7.8,0.4,3.9
2023-24,IST,NYK,New York Knicks,5,3,2,240.0,395.2,6.4,0.8,2.2,36.4,0.0,0.0,0.0,1.6,25.0,3.4,53.1,1.2,35.3,0.4,6.3,0.0,0.0
2023-24,IST,OKC,Oklahoma City Thunder,4,1,3,240.0,411.0,11.0,2.5,4.3,58.8,1.5,1.5,100,6.5,59.1,4.8,43.2,1.0,21.1,0.8,6.8,0.3,2.3
2023-24,IST,ORL,Orlando Magic,4,3,1,240.0,409.8,7.5,2.3,3.5,64.3,1.3,1.5,83.3,6.0,80.0,3.0,40.0,1.8,58.3,0.3,3.3,0.8,10.0
2023-24,IST,PHI,Philadelphia 76ers,4,2,2,246.3,410.0,10.8,1.3,3.5,35.7,2.0,2.0,100,4.8,44.2,5.0,46.5,1.8,35.0,1.3,11.6,0.8,7.0
2023-24,IST,PHX,Phoenix Suns,5,3,2,240.0,397.2,10.8,2.4,4.2,57.1,2.0,2.8,71.4,7.4,68.5,5.0,46.3,1.0,20.0,0.0,0.0,1.4,13.0
2023-24,IST,POR,Portland Trail Blazers,4,1,3,246.3,382.3,12.3,3.3,5.5,59.1,2.3,2.5,90.0,9.3,75.5,4.5,36.7,0.8,16.7,0.5,4.1,1.3,10.2
2023-24,IST,SAC,Sacramento Kings,5,4,1,240.0,439.8,14.0,2.2,3.8,57.9,1.6,2.4,66.7,6.0,42.9,8.2,58.6,2.6,31.7,0.6,4.3,1.2,8.6
2023-24,IST,SAS,San Antonio Spurs,4,0,4,240.0,435.8,10.0,2.3,4.0,56.3,0.0,0.0,0.0,4.5,45.0,4.8,47.5,1.3,26.3,0.8,7.5,0.0,0.0
2023-24,IST,TOR,Toronto Raptors,4,1,3,240.0,420.8,13.8,4.3,4.8,89.5,0.0,0.0,0.0,8.5,61.8,7.3,52.7,2.3,31.0,1.0,7.3,0.0,0.0
2023-24,IST,UTA,Utah Jazz,4,2,2,240.0,368.3,6.3,1.8,3.3,53.8,1.8,2.0,87.5,5.3,84.0,1.5,24.0,0.3,16.7,0.3,4.0,1.0,16.0
2023-24,IST,WAS,Washington Wizards,4,0,4,240.0,410.0,7.8,2.8,3.5,78.6,0.5,0.5,100,6.3,80.6,3.3,41.9,0.5,15.4,0.3,3.2,0.3,3.2
2024-25,Playoffs,BOS,Boston Celtics,11,6,5,242.3,352.2,7.2,1.7,3.0,57.6,1.1,1.5,75.0,4.7,65.8,2.5,34.2,0.7,29.6,0.5,7.6,0.7,10.1
2024-25,Playoffs,CLE,Cleveland Cavaliers,9,5,4,240.0,373.3,9.1,2.0,3.9,51.4,0.6,0.7,83.3,4.7,51.2,4.6,50.0,1.0,22.0,0.1,1.2,0.2,2.4
2024-25,Playoffs,DEN,Denver Nuggets,14,7,7,243.6,396.6,14.3,2.9,6.1,47.1,1.4,1.7,83.3,7.4,51.5,6.3,44.0,1.0,15.9,0.6,4.5,0.9,6.0
2024-25,Playoffs,DET,Detroit Pistons,6,2,4,240.0,360.2,10.8,1.8,3.3,55.0,1.3,1.7,80.0,5.3,49.2,4.8,44.6,1.7,34.5,1.2,10.8,0.7,6.2
2024-25,Playoffs,GSW,Golden State Warriors,12,5,7,240.0,434.6,9.8,1.8,3.3,52.5,0.8,1.5,55.6,4.5,46.2,5.0,51.3,0.8,16.7,0.1,0.9,0.6,6.0
2024-25,Playoffs,HOU,Houston Rockets,7,3,4,240.0,370.6,12.1,3.7,6.0,61.9,1.0,1.7,58.3,8.4,69.4,4.4,36.5,0.7,16.1,0.7,5.9,0.7,5.9
2024-25,Playoffs,IND,Indiana Pacers,23,15,8,242.2,436.7,8.1,2.3,3.8,61.4,1.0,1.3,76.7,5.8,71.5,3.1,38.2,0.6,18.3,0.3,3.8,0.7,8.1
2024-25,Playoffs,LAC,LA Clippers,7,3,4,243.6,372.4,12.1,3.3,5.7,57.5,0.4,0.6,75.0,7.1,58.8,5.6,45.9,0.4,7.7,0.4,3.5,0.3,2.4
2024-25,Playoffs,LAL,Los Angeles Lakers,5,1,4,240.0,381.4,6.2,2.0,2.8,71.4,0.8,0.8,100,5.2,83.9,3.0,48.4,0.6,20.0,0.0,0.0,0.4,6.5
2024-25,Playoffs,MEM,Memphis Grizzlies,4,0,4,240.0,409.5,8.0,1.8,2.3,77.8,0.5,1.0,50.0,4.0,50.0,4.3,53.1,1.0,23.5,0.8,9.4,0.5,6.3
2024-25,Playoffs,MIA,Miami Heat,4,0,4,240.0,379.8,6.8,0.8,2.3,33.3,0.5,0.5,100,2.0,29.6,2.8,40.7,1.3,45.5,1.0,14.8,0.3,3.7
2024-25,Playoffs,MIL,Milwaukee Bucks,5,1,4,245.0,373.4,6.2,1.4,2.2,63.6,0.6,0.8,75.0,3.4,54.8,3.2,51.6,0.6,18.8,0.2,3.2,0.4,6.5
