SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2015-16,regular-season,LAL,82,17,65,48.1,71.0,29.0,56.2,17.0,24.0,12.5,19.8,14.0,39.2,45.0,55.0,73.4,26.6,51.3,48.7
2015-16,regular-season,PHI,82,10,72,48.3,67.3,32.7,55.2,10.9,28.7,12.5,16.1,17.0,44.3,50.1,49.9,86.3,13.7,59.4,40.6
2015-16,playoffs,CLE,21,16,5,48.0,63.0,37.0,49.7,12.8,35.2,13.0,15.1,16.7,36.9,43.7,56.3,80.2,19.8,55.4,44.6
2015-16,playoffs,GSW,24,15,9,48.2,62.1,37.9,48.6,11.3,35.5,13.6,15.9,16.6,37.3,53.2,46.8,81.4,18.6,62.4,37.6
2015-16,playoffs,OKC,18,11,7,48.0,70.5,29.5,56.3,16.5,23.3,15.7,20.4,14.2,39.8,45.8,54.2,81.9,18.1,53.6,46.4
2015-16,playoffs,TOR,20,10,10,48.8,71.8,28.2,58.7,18.3,22.0,9.8,19.3,16.8,40.4,38.0,62.0,77.4,22.6,45.8,54.2
2015-16,playoffs,MIA,14,7,7,49.1,76.2,23.8,61.9,17.4,21.2,8.8,16.8,11.4,44.5,36.2,63.8,80.2,19.8,44.4,55.6
2015-16,playoffs,SAS,10,6,4,48.0,76.8,23.2,59.8,20.4,24.1,14.1,16.1,16.3,39.4,46.2,53.8,87.8,12.2,55.0,45.0
2015-16,playoffs,POR,11,5,6,48.5,64.9,35.1,48.0,13.5,34.0,13.6,18.0,11.7,34.5,51.6,48.4,71.8,28.2,58.1,41.9
2015-16,playoffs,ATL,10,4,6,48.5,62.5,37.5,51.9,8.8,31.8,12.1,16.3,14.0,43.2,51.2,48.8,87.7,12.3,61.7,38.3
2015-16,playoffs,CHA,7,3,4,48.0,76.9,23.1,57.9,12.3,19.0,6.5,23.1,14.2,45.6,36.6,63.4,70.0,30.0,42.6,57.4
2015-16,playoffs,IND,7,3,4,48.0,71.6,28.4,53.0,16.8,26.1,14.5,20.9,17.4,36.3,46.0,54.0,82.5,17.5,55.0,45.0
2015-16,playoffs,BOS,6,2,4,48.8,64.8,35.2,54.7,10.7,27.7,11.9,17.6,15.6,44.0,52.6,47.4,86.5,13.5,61.2,38.8
2015-16,playoffs,LAC,6,2,4,48.0,77.1,22.9,64.1,21.0,17.3,9.3,18.6,13.2,43.1,41.8,58.2,88.2,11.8,48.9,51.1
2015-16,playoffs,DAL,5,1,4,48.0,73.6,26.4,62.3,20.0,19.8,9.6,17.9,11.9,42.2,52.1,47.9,87.1,12.9,58.2,41.8
2015-16,playoffs,HOU,5,1,4,48.0,66.8,33.2,55.7,9.2,25.0,12.7,19.3,16.4,46.5,48.0,52.0,76.3,23.7,54.5,45.5
2015-16,playoffs,DET,4,0,4,48.0,69.1,30.9,57.4,16.3,27.6,7.9,15.0,9.2,41.1,50.5,49.5,91.4,8.6,60.4,39.6
2015-16,playoffs,MEM,4,0,4,48.0,80.3,19.7,67.3,23.5,17.6,10.2,15.1,14.5,43.8,45.9,54.1,84.2,15.8,51.6,48.4
2016-17,pre-season,GSW,7,6,1,48.7,58.9,41.1,44.6,10.6,36.9,18.6,18.5,17.9,34.0,61.9,38.1,80.4,19.6,68.5,31.5
2016-17,pre-season,ATL,7,5,2,48.0,73.2,26.8,61.5,18.4,21.9,10.8,16.6,16.5,43.1,65.4,34.6,92.0,8.0,70.5,29.5
2016-17,pre-season,BOS,7,5,2,48.0,65.2,34.8,54.4,18.2,29.0,12.9,16.6,22.0,36.2,50.0,50.0,84.5,15.5,59.0,41.0
2016-17,pre-season,HOU,7,5,2,49.4,58.6,41.4,49.9,9.6,31.4,15.4,18.7,18.6,40.2,50.7,49.3,79.3,20.7,59.2,40.8
2016-17,pre-season,MIN,7,5,2,48.0,73.3,26.7,54.8,14.8,22.6,15.2,22.7,21.0,40.0,45.6,54.4,75.5,24.5,52.0,48.0
2016-17,pre-season,DEN,8,4,4,48.6,71.1,28.9,57.6,12.7,20.1,12.9,22.3,17.7,44.8,53.3,46.7,91.1,8.9,60.5,39.5
2016-17,pre-season,MEM,6,4,2,49.7,65.9,34.1,48.8,12.1,27.5,16.9,23.8,25.2,36.6,43.3,56.7,89.8,10.2,56.0,44.0
2016-17,pre-season,MIA,8,4,4,48.0,66.4,33.6,55.3,10.8,29.4,11.2,15.3,17.6,44.5,45.0,55.0,89.0,11.0,56.5,43.5
2016-17,pre-season,NYK,6,4,2,48.0,69.8,30.2,58.2,18.4,27.1,13.3,14.7,21.4,39.8,56.8,43.2,81.4,18.6,62.7,37.3
2016-17,pre-season,PHX,6,4,2,48.0,77.9,22.1,58.3,13.5,17.9,19.6,23.8,23.5,44.8,42.5,57.5,83.8,16.2,49.5,50.5
2016-17,pre-season,POR,7,4,3,48.7,67.6,32.4,52.3,13.5,30.8,10.0,16.9,15.5,38.8,44.6,55.4,84.9,15.1,56.0,44.0
2016-17,pre-season,SAS,6,4,2,48.0,75.0,25.0,57.3,19.6,25.2,16.5,17.5,20.9,37.7,57.5,42.5,79.6,20.4,62.5,37.5
2016-17,pre-season,TOR,7,4,3,48.0,74.7,25.3,59.4,17.6,21.9,17.5,18.7,23.2,41.8,37.0,63.0,81.1,18.9,45.7,54.3
