SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2016-17,Regular+Season,DAL,Dallas Mavericks,41,19,22,149.0,103.7,107.8,-4.2,42.9,1.15,12.3,17.9,67.4,42.5,13.0,51.7,57.4,97.72,45.9
2016-17,Regular+Season,NYK,New York Knicks,43,19,24,176.0,107.4,108.0,-0.5,45.5,1.45,12.9,37.2,61.8,50.0,12.0,49.0,53.4,95.66,50.5
2016-17,Regular+Season,ORL,Orlando Magic,39,18,21,151.0,101.9,112.8,-10.8,49.5,1.67,12.4,28.8,70.4,48.9,9.7,44.2,51.3,99.04,42.5
2016-17,Regular+Season,NOP,New Orleans Pelicans,44,17,27,184.0,94.0,96.7,-2.7,52.6,1.25,12.0,29.0,66.7,48.5,12.5,41.1,48.5,101.88,49.6
2016-17,Regular+Season,PHX,Phoenix Suns,50,17,33,180.0,103.4,121.4,-17.9,21.9,0.61,6.0,32.8,65.0,48.4,12.1,46.0,53.6,104.74,33.8
2016-17,Regular+Season,DEN,Denver Nuggets,40,16,24,127.0,97.6,105.5,-7.9,57.5,1.47,12.9,31.3,76.9,51.4,11.7,40.7,48.7,109.68,44.2
2016-17,Regular+Season,GSW,Golden State Warriors,25,16,9,100.0,108.4,101.0,7.4,64.0,1.78,16.1,37.5,67.3,51.4,12.6,47.8,54.8,98.98,56.7
2016-17,Regular+Season,DET,Detroit Pistons,37,15,22,145.0,103.8,114.0,-10.2,41.4,1.48,11.7,34.1,65.8,48.4,10.6,46.5,49.2,98.21,38.9
2016-17,Regular+Season,MIN,Minnesota Timberwolves,45,15,30,171.0,98.8,106.3,-7.5,59.8,1.37,14.4,34.4,68.8,50.8,14.5,43.3,49.4,98.43,41.1
2016-17,Regular+Season,LAL,Los Angeles Lakers,43,14,29,128.0,108.2,120.0,-11.8,40.9,1.38,11.1,28.3,65.4,46.7,10.2,47.6,54.3,101.41,37.1
2016-17,Regular+Season,BKN,Brooklyn Nets,41,13,28,140.0,101.4,116.7,-15.3,47.9,1.24,12.1,28.7,61.4,44.4,12.5,45.7,52.4,105.20,35.4
2016-17,Playoffs,CLE,Cleveland Cavaliers,7,5,2,27.0,94.5,95.7,-1.1,57.1,1.14,10.7,34.3,75.0,50.8,12.7,38.6,46.9,90.71,50.4
2016-17,Playoffs,WAS,Washington Wizards,7,5,2,23.0,120.0,104.7,15.3,55.0,3.67,17.5,34.8,66.7,52.0,6.7,54.8,57.1,90.65,61.8
2016-17,Playoffs,GSW,Golden State Warriors,4,4,0,13.0,169.0,92.6,76.4,41.2,3.50,17.5,-,66.7,-,6.9,76.9,80.6,100.11,89.6
2016-17,Playoffs,HOU,Houston Rockets,5,3,2,23.0,117.6,106.3,11.4,56.3,1.00,14.3,27.8,54.5,45.1,17.6,59.1,68.2,103.06,66.7
2016-17,Playoffs,SAS,San Antonio Spurs,5,3,2,30.0,129.8,108.9,20.9,48.0,3.00,14.6,50.0,73.7,58.8,7.0,51.8,57.2,91.05,62.6
2016-17,Playoffs,TOR,Toronto Raptors,4,3,1,11.0,109.1,119.0,-10.0,50.0,4.00,15.4,-,-,-,4.5,56.7,61.9,97.24,53.6
2016-17,Playoffs,UTA,Utah Jazz,6,3,3,20.0,128.9,127.5,1.4,61.1,2.75,18.3,29.4,70.6,50.0,8.9,63.2,67.8,100.87,55.0
2016-17,Playoffs,BOS,Boston Celtics,4,2,2,23.0,119.0,111.4,7.7,61.1,2.75,17.7,38.5,54.5,45.8,9.5,47.7,52.7,91.57,52.5
2016-17,Playoffs,LAC,LA Clippers,5,2,3,18.0,119.4,129.3,-9.8,10.0,0.50,2.4,-,66.7,-,5.6,47.9,62.2,101.32,40.6
2016-17,Playoffs,ATL,Atlanta Hawks,5,1,4,9.0,76.5,131.6,-55.1,50.0,1.00,13.6,-,-,-,17.6,40.6,40.6,92.26,9.0
