SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PERC,AST_TO_PASS_PERC_ADJ
2019-20,regular-season,-,44,28,241.4,243.9,244.3,21.6,3.0,43.9,57.4,26.5,8.9,10.9,0
2019-20,regular-season,-,45,28,241.4,295.6,295.7,25.9,2.9,46.8,65.5,31.4,8.7,10.6,0
2019-20,regular-season,-,49,23,241.4,271.0,270.9,23.7,3.1,42.6,61.7,28.9,8.8,10.7,0
2019-20,regular-season,-,52,19,240.7,283.9,283.7,25.4,2.8,46.4,63.5,30.3,8.9,10.7,0
2019-20,regular-season,-,34,39,240.7,305.4,305.5,26.9,3.5,47.8,67.4,32.5,8.8,10.7,0
2019-20,regular-season,-,44,28,243.1,292.4,292.4,25.8,3.0,49.8,68.6,31.8,8.8,10.9,0
2019-20,regular-season,-,55,17,241.0,280.2,280.4,25.9,3.2,48.5,67.4,31.3,9.2,11.2,0
2019-20,regular-season,-,19,45,243.1,306.1,306.3,23.8,2.4,47.7,62.7,28.7,7.8,9.4,0
2019-20,regular-season,-,30,41,241.8,317.7,317.6,26.8,3.8,50.0,70.4,33.3,8.4,10.5,0
2019-20,regular-season,-,21,45,241.9,297.4,297.1,22.1,2.2,42.9,56.2,26.3,7.4,8.8,0
2019-20,regular-season,-,44,28,242.1,286.8,286.9,21.7,3.4,38.9,54.8,26.7,7.6,9.3,0
2019-20,regular-season,-,33,40,240.7,271.5,271.5,23.9,2.8,47.9,62.3,29.4,8.8,10.8,0
2019-20,regular-season,-,43,30,241.0,299.7,299.8,25.8,3.9,47.2,65.7,31.5,8.6,10.5,0
2019-20,regular-season,-,34,38,240.7,292.4,292.4,27.2,3.1,52.5,70.3,32.9,9.3,11.3,0
2019-20,regular-season,-,34,39,241.0,243.4,243.6,20.6,2.5,38.3,53.0,24.7,8.5,10.2,0
2019-20,regular-season,-,31,40,242.5,283.7,283.7,23.8,2.6,44.9,61.4,28.1,8.4,9.9,0
2019-20,regular-season,-,31,39,242.1,280.1,280.3,24.7,3.0,43.3,63.1,29.7,8.8,10.6,0
2019-20,regular-season,-,52,19,241.4,292.3,292.3,25.2,3.8,47.3,65.6,31.1,8.6,10.6,0
2019-20,regular-season,-,44,28,241.0,296.3,296.4,22.4,2.8,40.6,59.6,27.8,7.6,9.4,0
2019-20,regular-season,-,25,47,241.0,307.8,307.7,25.0,2.6,46.9,65.0,30.2,8.1,9.8,0
2019-20,playoffs,-,10,7,244.4,275.9,275.9,22.6,2.1,42.5,59.8,26.8,8.2,9.7,0
2019-20,playoffs,-,0,4,240.0,295.5,295.5,25.8,2.5,56.0,70.3,31.5,8.7,10.7,0
2019-20,playoffs,-,2,4,244.2,277.3,277.3,21.5,3.5,40.5,56.5,26.5,7.8,9.6,0
