SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2024-25,Pre+Season,PHX,Phoenix Suns,13.6,22.2,61.3,4.0,7.8,51.3,4.6,11.8,39.0,2.8,5.8,48.3,5.8,16.0,36.3,10.2,28.2,36.2
2024-25,Pre+Season,POR,Portland Trail Blazers,24.3,39.3,61.8,4.5,10.8,41.9,1.0,4.0,25.0,0.3,2.3,11.1,4.0,11.8,34.0,6.5,21.3,30.6
2024-25,Pre+Season,Ratiopharm Ulm,Ratiopharm Ulm,7.0,11.0,63.6,2.0,8.0,25.0,1.0,9.0,11.1,4.0,9.0,44.4,10.0,18.0,55.6,10.0,28.0,35.7
2024-25,Pre+Season,SAC,Sacramento Kings,15.8,23.4,67.5,6.0,15.0,40.0,4.0,8.2,48.8,2.4,5.8,41.4,4.0,12.0,33.3,5.8,26.2,22.1
2024-25,Pre+Season,SAS,San Antonio Spurs,23.8,36.4,65.4,2.8,7.6,36.8,1.8,3.4,52.9,1.0,2.6,38.5,4.2,13.6,30.9,8.2,23.2,35.3
2024-25,Pre+Season,TOR,Toronto Raptors,22.2,33.0,67.3,4.8,11.8,40.7,2.8,7.4,37.8,1.8,4.6,39.1,4.4,12.4,35.5,7.4,22.6,32.7
2024-25,Pre+Season,UTA,Utah Jazz,16.8,25.3,66.4,3.8,9.5,40.4,2.3,4.5,51.9,1.2,3.3,35.0,6.8,18.2,37.6,6.2,19.0,32.5
2024-25,Pre+Season,WAS,Washington Wizards,16.8,25.0,67.2,4.2,11.4,36.8,1.8,3.0,60.0,1.0,3.4,29.4,4.6,13.4,34.3,8.2,24.8,33.1
2024-25,Regular+Season,ATL,Atlanta Hawks,19.7,31.3,63.1,6.1,13.3,46.1,2.8,6.5,42.8,0.7,1.9,39.9,6.4,16.5,38.8,7.2,20.4,35.1
2024-25,Regular+Season,BOS,Boston Celtics,15.8,23.5,67.2,3.6,7.7,46.5,2.4,5.5,43.6,1.7,4.2,40.4,5.3,13.5,39.2,12.2,33.2,36.8
2024-25,Regular+Season,BKN,Brooklyn Nets,16.5,27.5,60.0,4.1,10.6,38.6,2.2,5.4,41.6,1.0,2.4,42.7,5.6,15.9,35.1,8.0,23.4,34.3
2024-25,Regular+Season,CHA,Charlotte Hornets,16.3,27.3,59.7,5.2,12.7,40.6,2.2,6.3,35.1,1.4,3.7,38.6,4.6,12.4,37.4,8.1,25.0,32.6
2024-25,Regular+Season,CHI,Chicago Bulls,18.8,30.5,61.6,5.5,10.9,51.0,2.1,4.7,44.2,0.9,2.7,34.9,6.0,15.5,38.4,9.6,26.8,36.0
2024-25,Regular+Season,CLE,Cleveland Cavaliers,18.3,27.8,66.0,5.8,11.4,50.9,3.0,6.1,49.7,1.1,2.8,39.1,6.4,16.4,38.9,9.4,24.8,38.0
