SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2017-18,Pre+Season,ORL,Orlando Magic,4,2,2,2.9,1.5,0.0,0.5,4.0,1.0,0.5,0.5,1.0
2017-18,Pre+Season,UTA,Utah Jazz,2,2,0,2.6,3.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
2017-18,Pre+Season,WAS,Washington Wizards,3,2,1,2.7,1.3,0.0,0.0,2.7,1.0,0.0,1.7,0.7
2017-18,Pre+Season,BKN,Brooklyn Nets,1,1,0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,Pre+Season,CHA,Charlotte Hornets,3,1,2,5.0,1.7,0.0,0.0,4.0,2.7,0.0,1.3,5.3
2017-18,Pre+Season,CHI,Chicago Bulls,1,1,0,5.2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0
2017-18,Pre+Season,DET,Detroit Pistons,3,1,2,3.9,1.3,0.0,0.0,6.0,0.3,0.0,0.0,2.0
2017-18,Pre+Season,GSW,Golden State Warriors,3,1,2,1.2,0.7,0.7,0.0,0.7,0.0,0.0,0.0,0.7
2017-18,Pre+Season,IND,Indiana Pacers,2,1,1,4.1,1.5,0.0,0.0,2.0,1.5,0.0,0.0,5.0
2017-18,Pre+Season,MEM,Memphis Grizzlies,1,1,0,0.8,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2017-18,Pre+Season,MIL,Milwaukee Bucks,2,1,1,4.2,2.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0
2017-18,Pre+Season,MIN,Minnesota Timberwolves,1,1,0,3.1,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
2017-18,Pre+Season,OKC,Oklahoma City Thunder,1,1,0,4.8,0.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0
