SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2016-17,regular-season,-,42,40,241.2,403.9,13.5,2.7,5.7,46.5,1.1,1.5,76.7,6.7,49.2,4.4,32.4,1.1,7.8,1.1,7.9,0.8,5.6,0
2016-17,regular-season,-,31,51,241.5,405.4,19.0,4.7,9.9,47.3,1.7,2.2,79.8,11.4,59.9,4.8,25.2,1.2,6.2,1.3,6.6,1.1,6.0,0
2016-17,regular-season,-,34,48,242.7,418.6,11.4,2.4,5.6,43.4,1.4,1.7,80.7,6.5,57.0,2.9,25.7,0.5,4.7,0.8,6.8,0.9,7.5,0
2016-17,regular-season,-,31,51,242.1,447.7,14.4,2.7,6.2,42.7,1.7,2.0,81.0,7.2,49.8,4.6,31.9,1.0,6.9,1.0,7.0,1.0,7.2,0
2016-17,regular-season,-,47,35,241.5,379.6,17.1,3.8,7.4,51.6,1.4,1.8,75.0,9.2,54.1,5.2,30.4,1.1,6.7,1.6,9.3,0.9,5.4,0
2016-17,regular-season,-,29,53,241.5,414.9,14.2,2.8,6.7,42.2,0.6,0.7,80.0,6.3,44.5,4.9,34.6,0.9,6.3,0.9,6.1,0.4,2.7,0
2016-17,regular-season,-,28,54,241.8,474.9,13.4,2.4,5.3,45.6,1.5,2.1,72.4,6.5,48.8,4.3,32.1,0.8,6.3,1.3,9.4,1.1,8.0,0
2016-17,regular-season,-,23,57,241.9,422.7,10.1,1.7,4.0,41.4,1.0,1.4,75.9,4.4,44.0,3.4,33.5,0.7,6.6,0.8,8.2,0.7,7.0,0
2016-17,regular-season,-,41,41,243.1,397.0,7.2,1.5,3.3,46.7,0.6,0.8,70.6,3.7,52.2,2.1,28.7,0.6,8.0,0.5,6.8,0.4,6.1,0
2016-17,regular-season,-,32,50,242.4,437.1,16.4,3.2,6.4,49.1,1.6,2.0,80.0,8.1,49.3,5.6,34.0,1.5,8.9,1.2,7.0,1.0,6.1,0
2016-17,regular-season,-,61,20,241.5,434.0,18.3,3.5,7.8,44.4,1.5,2.1,74.3,8.6,47.3,6.1,33.3,1.3,7.2,1.1,5.8,1.1,6.0,0
2016-17,regular-season,-,50,31,241.2,392.1,7.9,1.8,4.0,45.8,0.8,1.1,72.2,4.6,57.9,2.2,27.5,0.3,4.2,0.6,7.3,0.6,7.2,0
2016-17,regular-season,-,51,31,240.9,429.2,10.2,1.4,3.0,45.7,0.7,0.8,87.5,3.5,34.0,4.5,44.5,1.1,10.6,0.7,6.6,0.4,4.1,0
2016-17,regular-season,-,49,33,242.1,386.2,9.5,2.2,4.8,45.1,0.9,1.2,77.1,5.3,56.1,2.5,25.8,0.5,5.8,0.7,7.2,0.6,6.2,0
2016-17,playoffs,-,2,4,240.0,422.7,12.3,2.8,5.0,56.7,1.8,2.0,91.7,7.7,62.2,3.0,24.3,1.2,9.5,1.5,12.2,1.0,8.1,0
2016-17,playoffs,-,9,9,241.4,422.6,11.1,1.9,4.3,43.6,0.5,0.8,64.3,4.2,37.5,3.7,33.0,1.4,13.0,0.8,7.0,0.4,3.5,0
2016-17,playoffs,-,2,4,240.0,380.3,11.0,2.5,5.3,46.9,1.7,1.7,100,6.8,62.1,3.3,30.3,0.5,4.5,0.7,6.1,0.8,7.6,0
2016-17,playoffs,-,13,5,240.0,377.3,8.9,1.9,4.2,46.1,0.9,1.1,85.0,5.1,56.9,2.6,28.8,0.4,5.0,0.5,5.6,0.6,6.3,0
2016-17,playoffs,-,16,1,240.0,420.6,14.3,2.9,5.4,53.8,1.4,1.5,88.5,7.4,51.9,4.5,31.7,2.5,17.7,0.7,4.9,0.8,5.8,0
2016-17,playoffs,-,6,5,242.3,360.6,3.3,0.7,1.5,47.1,0.1,0.2,50.0,1.7,52.8,1.1,33.3,0.5,13.9,0.1,2.8,0.1,2.8,0
2016-17,playoffs,-,0,4,240.0,369.8,6.0,1.3,2.3,55.6,1.0,1.5,66.7,3.5,58.3,2.0,33.3,0.3,4.2,0.5,8.3,0.8,12.5,0
2016-17,playoffs,-,3,4,240.0,357.9,7.0,1.7,3.4,50.0,0.0,0.6,0.0,3.4,49.0,2.3,32.7,0.3,4.1,0.4,6.1,0.3,4.1,0
2016-17,playoffs,-,2,4,244.2,371.5,16.2,3.7,8.3,44.0,3.2,3.7,86.4,10.8,67.0,3.3,20.6,0.7,4.1,1.2,7.2,1.8,11.3,0
2016-17,playoffs,-,2,4,240.0,407.8,12.3,2.0,3.3,60.0,2.2,3.0,72.2,6.2,50.0,4.8,39.2,1.3,10.8,1.0,8.1,1.7,13.5,0
2016-17,playoffs,-,1,4,240.0,353.8,14.6,2.0,7.2,27.8,1.6,2.0,80.0,5.6,38.4,3.0,20.5,1.0,6.8,1.4,9.6,1.0,6.8,0
2016-17,playoffs,-,0,4,240.0,367.8,5.0,0.8,1.8,42.9,0.8,1.0,75.0,2.3,45.0,2.0,40.0,0.3,5.0,0.5,10.0,0.5,10.0,0
2016-17,playoffs,-,8,8,243.1,405.8,18.8,3.8,8.6,43.8,1.6,2.0,81.3,9.4,50.0,6.1,32.3,1.4,7.7,1.1,6.0,1.0,5.3,0
2016-17,playoffs,-,4,6,240.0,383.5,6.8,1.4,3.7,37.8,0.5,0.8,62.5,3.4,50.0,1.5,22.1,0.1,1.5,0.8,11.8,0.4,5.9,0
2016-17,playoffs,-,4,7,240.0,399.1,9.0,0.5,1.8,30.0,0.3,0.4,75.0,1.4,15.2,4.8,53.5,1.0,11.1,0.7,8.1,0.2,2.0,0
2016-17,playoffs,-,7,6,241.9,373.2,8.7,1.8,4.7,39.3,0.9,1.1,85.7,4.8,55.8,1.7,19.5,0.2,2.7,1.2,14.2,0.5,6.2,0
2017-18,regular-season,-,24,57,240.3,449.7,2.2,0.4,1.0,36.1,0.1,0.2,68.8,1.0,43.0,0.6,27.9,0.2,7.8,0.2,10.1,0.1,5.0,0
2017-18,regular-season,-,52,27,241.6,422.5,13.1,2.7,6.3,42.5,1.0,1.3,77.5,6.5,49.9,3.7,28.1,1.0,7.8,0.6,4.9,0.7,5.0,0
2017-18,regular-season,-,27,53,242.2,449.0,7.0,1.4,3.0,46.3,0.5,0.7,74.1,3.3,47.9,2.3,32.7,0.4,5.9,0.5,6.6,0.3,4.8,0
2017-18,regular-season,-,36,46,241.2,402.4,13.0,2.9,6.6,43.9,1.3,2.0,61.9,7.2,55.3,2.8,21.4,0.7,5.4,1.2,9.2,1.0,8.0,0
2017-18,regular-season,-,27,55,242.1,422.4,10.8,2.5,5.1,49.6,0.4,0.6,70.0,5.6,51.4,3.4,31.7,0.7,6.2,0.8,7.4,0.3,2.8,0
2017-18,regular-season,-,50,32,240.6,392.8,11.8,2.5,4.9,50.1,0.9,1.1,80.0,6.0,50.3,3.4,28.6,1.2,10.5,0.8,7.1,0.6,4.8,0
