SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2015-16,playoffs,IND,3,1,2,33.3,2.6,3.7,1.3,2.7,50.0,0.3,1.3,25.0,0.7,1.3,50.0,0.3,1.3,1.7,1.0,1.3,0.3,0.3,0.0,2.0,1.3,-1.7
2015-16,playoffs,ATL,6,1,5,16.7,4.4,6.7,2.3,7.0,33.3,0.5,2.3,21.4,1.5,2.0,75.0,0.5,3.5,4.0,1.3,1.2,1.0,0.7,1.0,1.7,2.0,-2.5
2015-16,playoffs,DET,3,0,3,0.0,3.6,3.7,1.0,3.3,30.0,0.3,1.3,25.0,1.3,1.7,80.0,0.0,1.3,1.3,0.7,0.3,1.0,0.0,0.3,1.0,1.7,-3.7
2015-16,playoffs,LAC,2,0,2,0.0,4.2,6.0,2.0,6.5,30.8,0.0,3.0,0.0,2.0,4.5,44.4,1.0,2.5,3.5,1.5,0.5,0.0,0.0,0.0,3.0,3.0,-5.0
2015-16,playoffs,MEM,1,0,1,0.0,1.9,2.0,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
2016-17,pre-season,-,1,1,0,100,9.1,29.0,10.0,15.0,66.7,5.0,7.0,71.4,4.0,5.0,80.0,3.0,6.0,9.0,7.0,3.0,2.0,1.0,1.0,5.0,2.0,6.0
2016-17,pre-season,MEM,2,2,0,100,9.1,22.5,7.0,17.0,41.2,3.0,8.5,35.3,5.5,7.5,73.3,2.0,5.5,7.5,4.5,1.0,2.0,1.5,1.0,4.0,4.5,4.0
2016-17,pre-season,MIL,2,2,0,100,2.9,4.0,1.0,4.5,22.2,0.5,2.0,25.0,1.5,2.0,75.0,0.5,1.5,2.0,0.5,0.5,0.5,0.0,1.0,2.0,1.0,0.0
2016-17,pre-season,MIN,1,1,0,100,3.8,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0
2016-17,pre-season,POR,5,4,1,80.0,4.7,10.2,3.8,7.6,50.0,1.0,2.4,41.7,1.6,2.6,61.5,0.4,4.8,5.2,2.0,1.2,0.4,0.2,0.4,2.2,2.6,4.2
2016-17,pre-season,GSW,4,3,1,75.0,3.4,11.0,3.8,6.8,55.6,1.5,3.0,50.0,2.0,3.5,57.1,1.0,2.0,3.0,1.5,0.5,1.0,1.0,0.0,3.0,2.3,2.3
2016-17,pre-season,LAC,4,3,1,75.0,3.7,8.8,2.3,5.0,45.0,0.3,1.0,25.0,4.0,4.5,88.9,0.3,2.0,2.3,0.5,1.5,0.3,0.5,0.5,2.3,3.0,-1.3
2016-17,pre-season,ATL,3,2,1,66.7,3.3,8.3,3.0,5.7,52.9,0.0,0.7,0.0,2.3,3.0,77.8,0.3,3.0,3.3,1.0,1.0,0.3,0.7,0.7,2.3,2.3,2.7
