SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Elton Brand,1882,17,2,15,13.2,4703.6,0.90,0.50,0.40,4.04,4.31,3.76
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Emmanuel Mudiay,1626144,68,29,39,30.4,11824.0,2.20,1.30,1.00,4.43,4.98,3.87
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Enes Freedom,202683,82,55,27,21.0,7964.3,1.50,0.80,0.70,4.32,4.75,3.89
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Eric Bledsoe,202339,31,12,19,34.2,12864.3,2.40,1.30,1.10,4.29,4.67,3.93
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Eric Gordon,201569,45,14,31,32.9,12137.1,2.30,1.20,1.10,4.20,4.67,3.75
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Eric Moreland,203961,7,1,6,6.2,2540.0,0.50,0.20,0.20,4.72,5.02,4.19
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Erick Green,203475,9,6,3,4.7,1817.4,0.30,0.20,0.10,4.42,4.67,4.12
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Ersan Ilyasova,101141,74,35,39,25.4,9332.1,1.80,1.00,0.80,4.18,4.55,3.82
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Evan Fournier,203095,78,33,45,32.5,12797.1,2.40,1.30,1.10,4.49,4.97,4.02
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Evan Turner,202323,80,46,34,28.0,10052.4,1.90,1.00,0.90,4.08,4.44,3.75
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Festus Ezeli,203105,46,42,4,16.7,6430.9,1.20,0.60,0.60,4.37,4.83,3.97
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Frank Kaminsky,1626163,81,47,34,21.1,8306.9,1.60,0.90,0.70,4.49,5.02,3.94
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Garrett Temple,202066,80,40,40,24.4,9484.8,1.80,0.90,0.90,4.42,4.77,4.11
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Gary Harris,203914,76,31,45,32.1,11979.7,2.30,1.20,1.10,4.25,4.53,3.98
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Gary Neal,202390,40,18,22,20.2,7495.8,1.40,0.70,0.70,4.23,4.60,3.89
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,George Hill,201588,74,41,33,34.1,12608.3,2.40,1.30,1.10,4.21,4.54,3.88
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Gerald Green,101123,69,40,29,22.6,8397.8,1.60,0.80,0.70,4.24,4.41,4.06
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Gerald Henderson,201945,72,39,33,19.9,7572.8,1.40,0.80,0.60,4.35,4.66,4.03
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Giannis Antetokounmpo,203507,80,32,48,35.3,12879.8,2.40,1.30,1.20,4.15,4.48,3.85
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Glenn Robinson III,203922,45,24,21,11.3,4517.7,0.90,0.50,0.40,4.54,4.81,4.25
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Goran Dragic,201609,72,44,28,32.8,12795.8,2.40,1.40,1.10,4.44,4.88,3.98
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Gordon Hayward,202330,80,38,42,36.2,13543.0,2.60,1.50,1.10,4.26,4.64,3.84
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Gorgui Dieng,203476,82,29,53,27.1,9544.5,1.80,0.90,0.90,4.02,4.19,3.84
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Greg Monroe,202328,79,32,47,29.3,10137.7,1.90,1.00,1.00,3.94,3.99,3.91
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Greg Smith,202962,18,8,10,10.7,3701.2,0.70,0.40,0.30,3.96,4.12,3.79
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Greivis Vasquez,202349,23,9,14,20.0,7672.0,1.50,0.80,0.70,4.38,4.77,3.99
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Harrison Barnes,203084,66,59,7,30.9,12057.3,2.30,1.20,1.10,4.44,4.91,4.02
