SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST
2015-16,Regular+Season,ORL,,73,35,38,25.5,2.0,1.3,66.0,4.4,45.3,0.1,46.6,5.8,0,0
2015-16,Regular+Season,ORL,,75,32,43,32.6,0.4,0.1,31.3,2.7,15.5,0.0,15.6,11.8,0,0
2015-16,Regular+Season,BOS,,80,46,34,28.0,0.6,0.3,46.0,2.6,24.4,0.1,25.1,13.4,0,0
2015-16,Regular+Season,GSW,,45,42,3,17.0,2.0,1.5,72.5,5.0,40.3,0.1,41.0,4.6,0,0
2015-16,Regular+Season,CHA,,77,45,32,21.9,0.9,0.5,59.4,2.7,32.9,0.1,34.3,8.0,0,0
2015-16,Regular+Season,WAS,,70,36,34,25.9,0.5,0.3,50.0,2.1,24.8,0.1,25.9,10.1,0,0
2015-16,Regular+Season,DEN,,72,30,42,32.2,0.8,0.3,40.7,2.4,31.2,0.1,32.9,11.7,0,0
2015-16,Regular+Season,WAS,,34,14,20,20.6,0.3,0.1,36.4,1.0,32.4,0.1,34.4,13.1,0,0
2015-16,Regular+Season,IND,,71,39,32,34.1,0.8,0.5,58.6,2.5,33.0,0.1,34.1,10.4,0,0
2015-16,Regular+Season,MIA,,57,31,26,24.8,0.4,0.2,48.0,1.5,29.4,0.0,30.1,9.5,0,0
2015-16,Regular+Season,POR,,63,36,27,20.8,0.5,0.1,26.7,1.5,31.6,0.0,32.6,12.9,0,0
2015-16,Regular+Season,MIL,,80,32,48,35.3,1.4,0.9,65.5,4.5,31.4,0.2,32.8,6.9,0,0
2015-16,Regular+Season,IND,,30,17,13,13.3,0.4,0.2,50.0,1.4,27.9,0.1,29.3,13.0,0,0
2015-16,Regular+Season,MIA,,70,43,27,32.8,0.8,0.4,48.1,3.0,26.0,0.1,26.6,10.1,0,0
2015-16,Regular+Season,UTA,,78,37,41,36.4,0.8,0.3,37.7,3.0,25.8,0.1,27.1,12.1,0,0
2015-16,Regular+Season,MIN,,82,29,53,27.1,1.9,1.2,61.8,4.8,39.9,0.1,40.6,7.1,0,0
